@relation andengine

@attribute fqCaller string
@attribute fqCalls string

@data
'org.androidaalto.antifrog.AntiFrogActivity.onCreateEngineOptions','org.andengine.engine.camera.Camera.<init> org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy.<init> org.andengine.engine.options.EngineOptions.<init>'
'org.androidaalto.antifrog.AntiFrogActivity.onCreateResources','org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.setAssetBasePath org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.createTiledFromAsset org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.load org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.createFromAsset org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.load org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.createFromAsset org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.load org.andengine.opengl.font.FontFactory.create org.andengine.opengl.font.Font.load org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.font.Font.<init> org.andengine.opengl.font.Font.load'
'org.androidaalto.antifrog.AntiFrogActivity.onCreateScene','org.andengine.entity.util.FPSLogger.<init>'
'org.androidaalto.antifrog.AntiFrogActivity.onBackPressed','org.andengine.entity.scene.Scene.toString'
'org.androidaalto.antifrog.AntiFrogScene.AntiFrogScene','org.andengine.entity.scene.background.AutoParallaxBackground.<init> org.andengine.entity.sprite.Sprite.<init> org.andengine.entity.scene.background.ParallaxBackground.ParallaxEntity.<init> org.andengine.entity.scene.background.AutoParallaxBackground.attachParallaxEntity'
'org.androidaalto.antifrog.AntiFrogScene.showScore','org.andengine.entity.text.Text.<init> org.andengine.entity.text.Text.getWidth org.andengine.entity.text.Text.getHeight org.andengine.entity.text.Text.setPosition org.andengine.entity.text.Text.setRotation'
'org.androidaalto.antifrog.AntiFrogScene.createExplosion','org.andengine.entity.particle.emitter.PointParticleEmitter.<init> org.andengine.entity.IEntityFactory<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.initializer.VelocityParticleInitializer<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleInitializer org.andengine.entity.particle.modifier.AlphaParticleModifier<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleModifier org.andengine.entity.particle.modifier.RotationParticleModifier<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleModifier org.andengine.entity.IEntity.attachChild org.andengine.engine.handler.timer.ITimerCallback.<init> org.andengine.engine.handler.timer.TimerHandler.<init> org.andengine.entity.IEntity.registerUpdateHandler'
'org.androidaalto.antifrog.AntiFrogScene.create','org.andengine.ui.activity.SimpleBaseGameActivity.getVertexBufferObjectManager org.andengine.entity.primitive.Rectangle.<init> org.andengine.entity.primitive.Rectangle.setColor'
'org.androidaalto.antifrog.AntiFrogScene.onTimePassed','org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.detachSelf org.andengine.entity.IEntity.sortChildren org.andengine.entity.IEntity.unregisterUpdateHandler'
'falldowndizzy.pac.AutoParallaxBackgroundXY.ParallaxEntityXY.onDraw','org.andengine.opengl.util.GLState.pushModelViewGLMatrix org.andengine.engine.camera.Camera.getWidth org.andengine.engine.camera.Camera.getHeight org.andengine.entity.shape.IAreaShape.getWidthScaled org.andengine.entity.shape.IAreaShape.getHeightScaled org.andengine.opengl.util.GLState.translateModelViewGLMatrixf org.andengine.entity.shape.IAreaShape.onDraw org.andengine.opengl.util.GLState.translateModelViewGLMatrixf org.andengine.entity.shape.IAreaShape.onDraw org.andengine.opengl.util.GLState.translateModelViewGLMatrixf org.andengine.opengl.util.GLState.popModelViewGLMatrix'
'com.ctlayon.gravitywell.Ball.Ball','org.andengine.entity.sprite.Sprite.<init>'
'com.ctlayon.gravitywell.Ball.getWidth','org.andengine.entity.sprite.Sprite.getWidth'
'com.ctlayon.gravitywell.Ball.getHeight','org.andengine.entity.sprite.Sprite.getHeight'
'com.ctlayon.gravitywell.Ball.getY','org.andengine.entity.sprite.Sprite.getY'
'com.ctlayon.gravitywell.Ball.getX','org.andengine.entity.sprite.Sprite.getX'
'com.ctlayon.gravitywell.Ball.move','org.andengine.entity.sprite.Sprite.setPosition org.andengine.engine.camera.Camera.getHeight org.andengine.engine.camera.Camera.getWidth'
'com.ctlayon.gravitywell.Ball.setPosition','org.andengine.entity.sprite.Sprite.setPosition'
'com.ctlayon.gravitywell.Ball.collidesWith','org.andengine.entity.sprite.Sprite.collidesWith'
'com.paperplanez.Balloon.Balloon','org.andengine.entity.primitive.Rectangle.<init> org.andengine.entity.primitive.Rectangle.setColor'
'com.paperplanez.Balloon.init','org.andengine.entity.modifier.RotationModifier.<init> org.andengine.entity.modifier.LoopEntityModifier.<init> org.andengine.entity.primitive.Rectangle.registerEntityModifier'
'com.paperplanez.Balloon.clean','org.andengine.entity.primitive.Rectangle.clearEntityModifiers org.andengine.entity.primitive.Rectangle.clearUpdateHandlers'
'com.paperplanez.BalloonLayer.restart','org.andengine.entity.modifier.MoveModifier.<init> org.andengine.entity.modifier.MoveXModifier.<init> org.andengine.entity.modifier.MoveXModifier.<init> org.andengine.entity.modifier.MoveYModifier.<init> org.andengine.entity.modifier.MoveYModifier.<init> org.andengine.entity.modifier.SequenceEntityModifier.<init> org.andengine.entity.modifier.LoopEntityModifier.<init>'
'com.ctlayon.gravitywell.BaseActivity.onCreateEngineOptions','org.andengine.engine.camera.Camera.<init> org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy.<init> org.andengine.engine.options.EngineOptions.<init>'
