@relation camel

@attribute fqCaller string
@attribute fqCalls string

@data
'org.apache.activemq.camel.AMQ2611Test.createCamelContext','org.apache.camel.impl.DefaultCamelContext.<init> org.apache.camel.CamelContext.addComponent org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.CamelContext.addRoutes org.apache.camel.CamelContext.start org.apache.camel.CamelContext.createProducerTemplate org.apache.camel.ProducerTemplate.sendBody'
'org.apache.activemq.camel.AMQ2611Test.destroyCamelContext','org.apache.camel.CamelContext.stop'
'de.objectcode.soatools.camel.AbstractCamelAction.processInOnly','org.apache.camel.Endpoint.createExchange org.apache.camel.ProducerTemplate.send'
'de.objectcode.soatools.camel.AbstractCamelAction.processInOut','org.apache.camel.Endpoint.createExchange org.apache.camel.ProducerTemplate.send'
'de.objectcode.soatools.camel.AbstractCamelAction.getEndpoint','org.apache.camel.CamelContext.getEndpoint'
'de.objectcode.soatools.camel.AbstractCamelAction.getProducerTemplate','org.apache.camel.impl.DefaultProducerTemplate.<init>'
'org.mokai.impl.camel.AbstractCamelConnectorService.AbstractCamelConnectorService','org.apache.camel.CamelContext.createProducerTemplate'
'org.mokai.impl.camel.AbstractCamelConnectorService.initRoutes','org.apache.camel.CamelContext.addRoutes org.apache.camel.builder.RouteBuilder.getRouteCollection org.apache.camel.CamelContext.addRoutes org.apache.camel.builder.RouteBuilder.getRouteCollection'
'org.mokai.impl.camel.AbstractCamelConnectorService.process','org.apache.camel.Exchange.getIn'
'org.mokai.impl.camel.AbstractCamelConnectorService.createOutboundRouteBuilder','org.apache.camel.builder.RouteBuilder.<init>'
'org.mokai.impl.camel.AbstractCamelConnectorService.createInboundRouteBuilder','org.apache.camel.builder.RouteBuilder.<init>'
'org.mokai.impl.camel.AbstractCamelConnectorService.injectMessageProducer','org.apache.camel.CamelContext.createProducerTemplate'
'org.mokai.impl.camel.AbstractCamelConnectorService.produce','org.apache.camel.ProducerTemplate.asyncSendBody org.apache.camel.CamelExecutionException.getCause org.apache.camel.CamelExecutionException.getCause'
'org.mokai.impl.camel.AbstractCamelConnectorService.getNumQueuedMessages','org.apache.camel.CamelContext.getEndpoint org.apache.camel.spi.BrowsableEndpoint.getExchanges org.apache.camel.CamelContext.getEndpoint'
'org.mokai.impl.camel.AbstractCamelConnectorService.start','org.apache.camel.CamelContext.startRoute'
'org.mokai.impl.camel.AbstractCamelConnectorService.stop','org.apache.camel.CamelContext.stopRoute'
'org.mokai.impl.camel.AbstractCamelConnectorService.ConnectorProcessor.process','org.apache.camel.Exchange.getIn org.apache.camel.Exchange.setProperty org.apache.camel.ProducerTemplate.sendBody'
'org.mokai.impl.camel.AbstractCamelConnectorService.OutboundMessageProcessor.process','org.apache.camel.Exchange.getIn'
'org.mokai.impl.camel.AbstractCamelConnectorService.InboundMessageProcessor.process','org.apache.camel.Exchange.getIn'
'org.apache.servicemix.camel.nmr.AbstractComponentTest.createRegistry','org.apache.camel.impl.JndiRegistry.bind'
'org.openehealth.ipf.platform.camel.cda.extend.AbstractExtensionTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.hl7.extend.AbstractExtensionTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.core.extend.AbstractExtensionTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayConvert','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayMarshal','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplaySkip','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayDedupe','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayUnhandled','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayHandled','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testOutFormatNoOutConversion','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testOutFormatWithOutConversion','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.testReplayTransacted','org.apache.camel.component.mock.MockEndpoint.expectedMessageCount org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.createExchange','org.apache.camel.impl.DefaultExchange.<init> org.apache.camel.Exchange.getIn'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.firstFlowId','org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.flowId','org.apache.camel.Exchange.getIn'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.firstBody','org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowReplayTest.firstHeader','org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowSplitTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowSplitTest.testConvertCamelSplitter','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getExchanges org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowSplitTest.testConvertCamelPipeline','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getExchanges org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowSplitTest.createExchange','org.apache.camel.impl.DefaultExchange.<init> org.apache.camel.Exchange.getIn'
