@relation drools

@attribute fqCaller string
@attribute fqCalls string

@data
'benchmarks.dispatch.test.AbstractDispatchTest.setUp','org.drools.WorkingMemory.insert org.drools.WorkingMemory.fireAllRules'
'benchmarks.dispatch.test.AbstractDispatchTest.incrementDSTime','org.drools.WorkingMemory.getObject org.drools.WorkingMemory.update'
'benchmarks.dispatch.test.AbstractDispatchTest.hasFact','org.drools.WorkingMemory.iterateObjects'
'benchmarks.dispatch.test.AbstractDispatchTest.getWorkerInfo','org.drools.WorkingMemory.getQueryResults org.drools.QueryResults.size org.drools.QueryResults.get org.drools.QueryResult.size org.drools.QueryResult.get'
'benchmarks.dispatch.test.AbstractDispatchTest.getInfo','org.drools.WorkingMemory.getQueryResults org.drools.QueryResults.size org.drools.QueryResults.get org.drools.QueryResult.size org.drools.QueryResult.get'
'benchmarks.dispatch.test.AbstractDispatchTest.getExclusion','org.drools.WorkingMemory.getQueryResults org.drools.QueryResults.size org.drools.QueryResults.get org.drools.QueryResult.size org.drools.QueryResult.get'
'benchmarks.dispatch.test.AbstractDispatchTest.getScore','org.drools.WorkingMemory.getQueryResults org.drools.QueryResults.size org.drools.QueryResults.get org.drools.QueryResult.size org.drools.QueryResult.get'
'benchmarks.dispatch.test.AbstractDispatchTest.getScoreComponent','org.drools.WorkingMemory.getQueryResults org.drools.QueryResults.size org.drools.QueryResults.get org.drools.QueryResult.size org.drools.QueryResult.get'
'org.anadix.impl.AbstractElementFactory.insertElement','org.drools.runtime.StatefulKnowledgeSession.insert'
'org.anadix.impl.AbstractElementFactory.getElements','org.drools.runtime.ClassObjectFilter.<init> org.drools.runtime.StatefulKnowledgeSession.getObjects'
'org.anadix.impl.AbstractElementFactory.setGlobal','org.drools.runtime.StatefulKnowledgeSession.setGlobal'
'org.anadix.impl.AbstractElementFactory.insertEvent','org.drools.runtime.StatefulKnowledgeSession.getWorkingMemoryEntryPoint org.drools.runtime.rule.WorkingMemoryEntryPoint.insert'
'org.anadix.impl.AbstractElementFactoryTest.testGetElements','org.drools.runtime.StatefulKnowledgeSession.getObjects'
'org.anadix.impl.AbstractElementFactoryTest.testInsertEvent','org.drools.runtime.StatefulKnowledgeSession.getWorkingMemoryEntryPoint'
'org.opaeum.jbpm5.AbstractFlowStep.createRoot','org.drools.drools._5._0.process.util.ProcessResourceFactoryImpl.<init> org.drools.drools._5._0.process.DocumentRoot.setProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.ProcessType.getHeader org.drools.drools._5._0.process.HeaderType.getVariables org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess'
'org.opaeum.jbpm5.AbstractFlowStep.createVariable','org.drools.drools._5._0.process.VariablesType.getVariable org.drools.drools._5._0.process.VariableType.setName org.drools.drools._5._0.process.TypeType.setClassName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.VariableType.getType'
'org.opaeum.jbpm5.AbstractFlowStep.addStartNode','org.drools.drools._5._0.process.StartType.setName org.drools.drools._5._0.process.NodesType.getStart'
'org.opaeum.jbpm5.AbstractFlowStep.addJoin','org.drools.drools._5._0.process.JoinType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addMerge','org.drools.drools._5._0.process.JoinType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addJoinType','org.drools.drools._5._0.process.JoinType.setName org.drools.drools._5._0.process.NodesType.getJoin'
'org.opaeum.jbpm5.AbstractFlowStep.createCompositeState','org.drools.drools._5._0.process.NodesType.getComposite org.drools.drools._5._0.process.CompositeType.getNodes org.drools.drools._5._0.process.CompositeType.getConnections org.drools.drools._5._0.process.CompositeType.setName org.drools.drools._5._0.process.CompositeType.setHeight org.drools.drools._5._0.process.CompositeType.setWidth'
'org.opaeum.jbpm5.AbstractFlowStep.createDynamicState','org.drools.drools._5._0.process.NodesType.getDynamic org.drools.drools._5._0.process.DynamicType.getNodes org.drools.drools._5._0.process.DynamicType.getConnections org.drools.drools._5._0.process.DynamicType.setName org.drools.drools._5._0.process.DynamicType.setHeight org.drools.drools._5._0.process.DynamicType.setWidth'
'org.opaeum.jbpm5.AbstractFlowStep.addFinalNode','org.drools.drools._5._0.process.EndType.setName org.drools.drools._5._0.process.EndType.setTerminate org.drools.drools._5._0.process.NodesType.getEnd'
'org.opaeum.jbpm5.AbstractFlowStep.addState','org.drools.drools._5._0.process.StateType.setName org.drools.drools._5._0.process.NodesType.getState'
'org.opaeum.jbpm5.AbstractFlowStep.addFork','org.drools.drools._5._0.process.SplitType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addChoice','org.drools.drools._5._0.process.SplitType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addSplitType','org.drools.drools._5._0.process.NodesType.getSplit org.drools.drools._5._0.process.SplitType.setName'
'org.opaeum.jbpm5.AbstractFlowStep.createConnection','org.drools.drools._5._0.process.ConnectionType.setFromType org.drools.drools._5._0.process.ConnectionType.setFrom org.drools.drools._5._0.process.ConnectionType.setTo org.drools.drools._5._0.process.ConnectionsType.getConnection'
'org.opaeum.jbpm5.AbstractFlowStep.addInitialNode','org.drools.drools._5._0.process.StartType.setName org.drools.drools._5._0.process.NodesType.getStart'
'org.opaeum.jbpm5.AbstractFlowStep.addConstraintsToSplit','org.drools.drools._5._0.process.SplitType.getConstraints org.drools.drools._5._0.process.ConstraintType.setDialect org.drools.drools._5._0.process.ConstraintType.setToNodeId org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setToType org.drools.drools._5._0.process.ConstraintType.setType org.drools.drools._5._0.process.ConstraintsType.getConstraint'
'org.opaeum.jbpm5.AbstractFlowStep.createAction','org.drools.drools._5._0.process.ActionType.setDialect org.drools.drools._5._0.process.ActionType.setType org.drools.drools._5._0.process.ActionType.setValue'
'com.sapienter.jbilling.server.rule.task.AbstractGeneratorTask.process','org.drools.compiler.PackageBuilder.<init> org.drools.compiler.PackageBuilder.addPackageFromDrl org.drools.compiler.PackageBuilder.hasErrors org.drools.compiler.PackageBuilder.getErrors org.drools.compiler.PackageBuilder.getPackage org.drools.util.DroolsStreamUtils.streamOut'
