@relation hornetq

@attribute fqCaller string
@attribute fqCalls string

@data
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.createTopic','org.hornetq.api.jms.management.JMSServerControl.createTopic'
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.getAvailableTopics','org.hornetq.api.jms.management.JMSServerControl.getTopicNames'
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.createTopic','org.hornetq.api.jms.management.JMSServerControl.createTopic'
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.getAvailableTopics','org.hornetq.api.jms.management.JMSServerControl.getTopicNames'
'org.jboss.as.messaging.jms.AbstractAddJndiHandler.execute','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.AbstractHornetQComponentControlHandler.executeRuntimeStep','org.hornetq.api.core.management.HornetQComponentControl.isStarted org.hornetq.api.core.management.HornetQComponentControl.start org.hornetq.api.core.management.HornetQComponentControl.stop'
'org.jboss.as.messaging.AbstractHornetQComponentControlHandler.handleRollback','org.hornetq.api.core.management.HornetQComponentControl.stop org.hornetq.api.core.management.HornetQComponentControl.start'
'org.jboss.as.messaging.AbstractHornetQComponentControlHandler.getHornetQComponentControl','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.AbstractQueueControlHandler.executeRuntimeStep','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.AcceptorControlHandler.getHornetQComponentControl','org.hornetq.core.server.HornetQServer.getManagementService org.hornetq.api.core.management.AcceptorControl.cast'
'org.jboss.as.messaging.AddressControlHandler.handleReadAttribute','org.hornetq.api.core.management.AddressControl.getRolesAsJSON org.hornetq.api.core.management.AddressControl.getQueueNames org.hornetq.api.core.management.AddressControl.getNumberOfBytesPerPage org.hornetq.api.core.management.AddressControl.getNumberOfPages org.hornetq.api.core.management.AddressControl.getBindingNames'
'org.jboss.as.messaging.AddressControlHandler.handleGetRolesAsJson','org.hornetq.api.core.management.AddressControl.getRolesAsJSON'
