@relation mahout

@attribute fqCaller string
@attribute fqCalls string

@data
'mia.recommender.ch06.AggregateAndRecommendReducer.setup','org.apache.mahout.cf.taste.hadoop.TasteHadoopUtils.readItemIDIndexMap'
'mia.recommender.ch06.AggregateAndRecommendReducer.reduce','org.apache.mahout.math.VectorWritable.get org.apache.mahout.math.VectorWritable.get org.apache.mahout.math.Vector.plus org.apache.mahout.cf.taste.impl.recommender.ByValueRecommendedItemComparator.getInstance org.apache.mahout.math.Vector.iterateNonZero org.apache.mahout.math.map.OpenIntLongHashMap.get org.apache.mahout.cf.taste.impl.recommender.GenericRecommendedItem.<init> org.apache.mahout.math.map.OpenIntLongHashMap.get org.apache.mahout.cf.taste.impl.recommender.GenericRecommendedItem.<init> org.apache.mahout.cf.taste.impl.recommender.ByValueRecommendedItemComparator.getInstance org.apache.mahout.cf.taste.hadoop.RecommendedItemsWritable.<init>'
'mia.recommender.ch06.AggregateCombiner.reduce','org.apache.mahout.math.VectorWritable.get org.apache.mahout.math.VectorWritable.get org.apache.mahout.math.Vector.plus org.apache.mahout.math.VectorWritable.<init>'
'de.apaxo.bedcon.AnimalFoodRecommender.initMemoryMigrator','org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.storeMapping org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.storeMapping org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID'
'de.apaxo.bedcon.AnimalFoodRecommender.initDataModel','org.apache.mahout.cf.taste.impl.common.FastByIDMap<org.apache.mahout.cf.taste.model.PreferenceArray>.<init> org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.GenericPreference.<init> org.apache.mahout.cf.taste.impl.model.GenericUserPreferenceArray.<init> org.apache.mahout.cf.taste.impl.common.FastByIDMap<org.apache.mahout.cf.taste.model.PreferenceArray>.put org.apache.mahout.cf.taste.impl.model.GenericDataModel.<init>'
'de.apaxo.bedcon.AnimalFoodRecommender.initRecommender','org.apache.mahout.cf.taste.impl.similarity.PearsonCorrelationSimilarity.<init> org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.similarity.PearsonCorrelationSimilarity.userSimilarity org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.similarity.PearsonCorrelationSimilarity.userSimilarity org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.similarity.PearsonCorrelationSimilarity.userSimilarity org.apache.mahout.cf.taste.impl.neighborhood.NearestNUserNeighborhood.<init> org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender.<init> org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.recommender.GenericUserBasedRecommender.recommend org.apache.mahout.cf.taste.recommender.RecommendedItem.getItemID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toStringID org.apache.mahout.cf.taste.recommender.RecommendedItem.getValue org.apache.mahout.cf.taste.impl.recommender.svd.ExpectationMaximizationSVDFactorizer.<init> org.apache.mahout.cf.taste.impl.recommender.svd.SVDRecommender.<init> org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toLongID org.apache.mahout.cf.taste.impl.recommender.svd.SVDRecommender.recommend org.apache.mahout.cf.taste.recommender.RecommendedItem.getItemID org.apache.mahout.cf.taste.impl.model.MemoryIDMigrator.toStringID org.apache.mahout.cf.taste.recommender.RecommendedItem.getValue org.apache.mahout.cf.taste.common.TasteException.printStackTrace'
'mia.clustering.ch08.ApplesToVectors.main','org.apache.mahout.math.DenseVector.<init> org.apache.mahout.math.NamedVector.<init> org.apache.mahout.math.DenseVector.<init> org.apache.mahout.math.NamedVector.<init> org.apache.mahout.math.DenseVector.<init> org.apache.mahout.math.NamedVector.<init> org.apache.mahout.math.DenseVector.<init> org.apache.mahout.math.NamedVector.<init> org.apache.mahout.math.DenseVector.<init> org.apache.mahout.math.NamedVector.<init> org.apache.mahout.math.VectorWritable.<init> org.apache.mahout.math.VectorWritable.set org.apache.mahout.math.NamedVector.getName org.apache.mahout.math.VectorWritable.<init> org.apache.mahout.math.VectorWritable.get'
'mia.classifier.ch15.AucExample.main','org.apache.mahout.classifier.evaluation.Auc.<init> org.apache.mahout.math.stats.GlobalOnlineAuc.<init> org.apache.mahout.classifier.evaluation.Auc.add org.apache.mahout.math.stats.OnlineAuc.addSample org.apache.mahout.math.stats.OnlineAuc.auc org.apache.mahout.classifier.evaluation.Auc.auc org.apache.mahout.math.stats.OnlineAuc.auc'
'de.tuberlin.dima.recsys.ssnmm.ratingprediction.AverageRating.main','org.apache.mahout.cf.taste.impl.common.FullRunningAverage.<init> org.apache.mahout.cf.taste.impl.common.RunningAverage.addDatum org.apache.mahout.cf.taste.impl.common.RunningAverage.getAverage'
'de.tuberlin.dima.aim3.assignment1.AverageTemperaturePerMonthTest.readResults','org.apache.mahout.common.iterator.FileLineIterable.<init>'
'de.tuberlin.dima.aim.exercises.one.AverageTemperaturePerMonthTest.readResults','org.apache.mahout.common.iterator.FileLineIterable.<init>'
'com.mapr.stats.BanditTrainer.averageRegret','org.apache.mahout.math.stats.OnlineSummarizer.<init> org.apache.mahout.math.stats.OnlineSummarizer.add org.apache.mahout.math.stats.OnlineSummarizer.getQuartile org.apache.mahout.math.stats.OnlineSummarizer.getMedian'
'com.mapr.stats.BanditTrainer.totalRegret','org.apache.mahout.math.stats.OnlineSummarizer.<init> org.apache.mahout.math.stats.OnlineSummarizer.<init>'
'com.mapr.stats.BanditTrainer.printRegret','org.apache.mahout.math.stats.OnlineSummarizer.getMean'
'com.tamingtext.classifier.bayes.BayesUpdateRequestProcessor.classifyDocument','org.apache.mahout.classifier.bayes.ClassifierContext.classifyDocument org.apache.mahout.classifier.ClassifierResult.getLabel org.apache.mahout.classifier.ClassifierResult.getLabel'
'com.tamingtext.classifier.bayes.BayesUpdateRequestProcessorFactory.initClassifierContext','org.apache.mahout.classifier.bayes.BayesParameters.<init> org.apache.mahout.classifier.bayes.BayesParameters.set org.apache.mahout.classifier.bayes.InMemoryBayesDatastore.<init> org.apache.mahout.classifier.bayes.BayesAlgorithm.<init> org.apache.mahout.classifier.bayes.ClassifierContext.<init> org.apache.mahout.classifier.bayes.ClassifierContext.initialize'
'com.digitalpebble.behemoth.mahout.BehemothDocumentProcessor.tokenizeDocuments','org.apache.mahout.common.HadoopUtil.delete org.apache.mahout.common.HadoopUtil.delete'
'com.digitalpebble.behemoth.mahout.BehemothDocumentProcessor.dumpLabels','org.apache.mahout.common.HadoopUtil.delete'
'com.digitalpebble.behemoth.mahout.BehemothTokenizerMapper.map','org.apache.mahout.common.StringTuple.<init> org.apache.mahout.common.StringTuple.add'
'com.carrotsearch.hppc.caliper.BenchmarkContainsWithRemoved.setUp','org.apache.mahout.math.Arrays.copyOf org.apache.mahout.math.Arrays.copyOf'
'com.mapr.stats.BetaBinomialDistribution.createBernoulliDistribution','org.apache.mahout.math.jet.random.AbstractContinousDistribution.<init>'
