@relation neo4j

@attribute fqCaller string
@attribute fqCalls string

@data
'org.animotron.statement.operator.AN.endOfHasA','org.neo4j.graphdb.Path.startNode org.neo4j.graphdb.Path.relationships org.neo4j.graphdb.Relationship.isType org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.Node.equals org.neo4j.graphdb.Relationship.getEndNode'
'org.animotron.statement.operator.AN.beginWithHasA','org.neo4j.graphdb.Path.startNode org.neo4j.graphdb.Path.relationships org.neo4j.graphdb.Relationship.isType org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.Node.equals'
'org.animotron.statement.operator.AREV.build','org.neo4j.graphdb.Node.createRelationshipTo'
'org.animotron.statement.operator.AREV.set','org.neo4j.graphdb.Node.getSingleRelationship org.neo4j.graphdb.Node.createRelationshipTo'
'org.animotron.statement.operator.AREV.actualNode','org.neo4j.graphdb.Node.getSingleRelationship org.neo4j.graphdb.Relationship.getEndNode'
'org.animotron.statement.operator.AREV.actualEndNode','org.neo4j.graphdb.Relationship.getEndNode org.neo4j.graphdb.Relationship.isType org.neo4j.graphdb.Relationship.isType'
'org.animotron.statement.operator.AREV.actualRelationship','org.neo4j.graphdb.Relationship.getEndNode'
'org.animotron.statement.operator.AREV.reference','org.neo4j.graphdb.Relationship.getStartNode'
'com.trivago.mail.pigeon.bean.AbstractBean.writeProperty','org.neo4j.graphdb.Node.setProperty org.neo4j.graphdb.Transaction.success org.neo4j.graphdb.Transaction.failure org.neo4j.graphdb.Transaction.finish'
'com.trivago.mail.pigeon.bean.AbstractBean.getProperty','org.neo4j.graphdb.Node.getProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.export.dot.shapes.AbstractDotShape.getShape','org.neo4j.graphdb.Node.hasProperty org.neo4j.graphdb.Node.getProperty'
'nl.pieni.maven.dependency_analyzer.neo4j.export.dot.shapes.AbstractDotShape.hashCode','org.neo4j.graphdb.Node.hashCode'
'org.animotron.expression.AbstractExpression.toString','org.neo4j.graphdb.Relationship.toString'
