@relation netty

@attribute fqCaller string
@attribute fqCalls string

@data
'com.torrent4j.net.peerwire.AbstractPeerWireMessage.write','io.netty.buffer.ChannelBuffer.writeByte'
'com.torrent4j.net.peerwire.messages.BitFieldMessage.writeImpl','io.netty.buffer.ChannelBuffer.writeByte'
'com.torrent4j.net.peerwire.messages.BitFieldMessage.readImpl','io.netty.buffer.ChannelBuffer.readable io.netty.buffer.ChannelBuffer.readByte'
'com.torrent4j.net.peerwire.messages.BlockMessage.writeImpl','io.netty.buffer.ChannelBuffer.writeInt io.netty.buffer.ChannelBuffer.writeInt io.netty.buffer.ChannelBuffer.writeBytes'
'com.torrent4j.net.peerwire.messages.BlockMessage.readImpl','io.netty.buffer.ChannelBuffer.readInt io.netty.buffer.ChannelBuffer.readInt io.netty.buffer.ChannelBuffer.readableBytes io.netty.buffer.ChannelBuffer.readBytes'
'redis.netty4.BulkReply.BulkReply','io.netty.buffer.Unpooled.wrappedBuffer io.netty.buffer.ByteBuf.capacity'
'redis.netty4.BulkReply.asAsciiString','io.netty.buffer.ByteBuf.toString'
'redis.netty4.BulkReply.asUTF8String','io.netty.buffer.ByteBuf.toString'
'redis.netty4.BulkReply.asString','io.netty.buffer.ByteBuf.toString'
'redis.netty4.BulkReply.write','io.netty.buffer.ByteBuf.writeByte io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes'
'com.torrent4j.net.peerwire.messages.CancelMessage.writeImpl','io.netty.buffer.ChannelBuffer.writeInt io.netty.buffer.ChannelBuffer.writeInt io.netty.buffer.ChannelBuffer.writeInt'
'com.torrent4j.net.peerwire.messages.CancelMessage.readImpl','io.netty.buffer.ChannelBuffer.readInt io.netty.buffer.ChannelBuffer.readInt io.netty.buffer.ChannelBuffer.readInt'
'redis.netty4.ChannelFutureListenerPromiseAdapter.operationComplete','io.netty.channel.ChannelFuture.isSuccess io.netty.channel.ChannelFuture.isCancelled io.netty.channel.ChannelFuture.cause'
'cgl.iotcloud.streaming.http.server.ClientPipelineFactory.getPipeline','io.netty.channel.Channels.pipeline io.netty.handler.logging.LoggingHandler.<init> io.netty.channel.ChannelPipeline.addLast io.netty.handler.codec.http.HttpClientCodec.<init> io.netty.channel.ChannelPipeline.addLast io.netty.handler.stream.ChunkedWriteHandler.<init> io.netty.channel.ChannelPipeline.addLast io.netty.channel.ChannelPipeline.addLast'
'redis.netty4.Command.getBytes','io.netty.buffer.ByteBuf.array'
'redis.netty4.Command.writeDirect','io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes'
'redis.netty4.Command.writeArgument','io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.readableBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes'
'redis.CommandTest.freelsBench','io.netty.buffer.Unpooled.wrappedBuffer io.netty.buffer.ByteBuf.resetReaderIndex'
'redis.netty4.Decoders.readLong','io.netty.buffer.ByteBuf.readByte io.netty.buffer.ByteBuf.readByte io.netty.buffer.ByteBuf.readByte io.netty.buffer.ByteBuf.readByte'
'redis.netty4.ErrorReply.write','io.netty.buffer.ByteBuf.writeByte io.netty.buffer.ByteBuf.writeBytes io.netty.buffer.ByteBuf.writeBytes'
'com.torrent4j.net.peerwire.messages.HandshakeMessage.write','io.netty.buffer.ChannelBuffer.writeByte io.netty.buffer.ChannelBuffer.writeBytes io.netty.buffer.ChannelBuffer.writeLong io.netty.buffer.ChannelBuffer.writeBytes io.netty.buffer.ChannelBuffer.writeBytes'
'com.torrent4j.net.peerwire.messages.HandshakeMessage.read','io.netty.buffer.ChannelBuffer.readByte io.netty.buffer.ChannelBuffer.readBytes io.netty.buffer.ChannelBuffer.readLong io.netty.buffer.ChannelBuffer.readBytes io.netty.buffer.ChannelBuffer.readBytes'
'com.torrent4j.net.peerwire.messages.HaveMessage.writeImpl','io.netty.buffer.ChannelBuffer.writeInt'
'com.torrent4j.net.peerwire.messages.HaveMessage.readImpl','io.netty.buffer.ChannelBuffer.readInt'
'cgl.iotcloud.streaming.http.client.HttpClient.send','io.netty.channel.socket.nio.NioClientSocketChannelFactory.<init> io.netty.bootstrap.ClientBootstrap.<init> io.netty.bootstrap.ClientBootstrap.setPipelineFactory io.netty.bootstrap.ClientBootstrap.connect io.netty.channel.ChannelFuture.awaitUninterruptibly io.netty.channel.ChannelFuture.isSuccess io.netty.channel.ChannelFuture.getCause io.netty.bootstrap.ClientBootstrap.releaseExternalResources io.netty.handler.codec.http.DefaultHttpRequest.<init> io.netty.handler.codec.http.HttpRequest.setHeader io.netty.handler.codec.http.HttpRequest.setHeader io.netty.buffer.ChannelBufferOutputStream.buffer io.netty.handler.codec.http.HttpRequest.setContent io.netty.channel.Channel.write io.netty.channel.Channel.getCloseFuture io.netty.bootstrap.ClientBootstrap.releaseExternalResources'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.OnConnect.onConnect','io.netty.channel.ChannelFuture.getChannel'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.writeRequest','io.netty.handler.codec.http.HttpRequest.isChunked io.netty.handler.codec.http.HttpRequest.removeHeader io.netty.channel.ChannelFuture.getChannel io.netty.channel.ChannelFuture.getChannel io.netty.channel.ChannelFuture.getChannel io.netty.channel.ChannelFuture.addListener io.netty.channel.ChannelFuture.addListener'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.HandleEvent.operationComplete','io.netty.channel.ChannelFuture.getChannel io.netty.channel.ChannelFuture.getChannel io.netty.channel.ChannelFuture.getChannel io.netty.handler.codec.http.HttpRequest.isChunked io.netty.handler.codec.http.HttpChunk.isLast io.netty.channel.ChannelFuture.addListener io.netty.channel.ChannelFuture.addListener'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.writeChunk','io.netty.channel.Channel.isConnected io.netty.channel.Channel.write'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.getChannelFuture','io.netty.channel.ChannelFuture.isSuccess io.netty.channel.ChannelFuture.getChannel'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.newChannelFuture','io.netty.bootstrap.ClientBootstrap.setOption io.netty.bootstrap.ClientBootstrap.connect io.netty.channel.ChannelFuture.getChannel'
'cgl.iotcloud.streaming.http.server.HttpClientEndpoint.responseDone','io.netty.channel.ChannelFuture.addListener'
'cgl.iotcloud.streaming.http.client.HttpClientHandler.messageReceived','io.netty.channel.MessageEvent.getMessage io.netty.handler.codec.http.HttpResponse.getStatus io.netty.handler.codec.http.HttpResponse.getProtocolVersion io.netty.handler.codec.http.HttpResponse.getHeaderNames io.netty.handler.codec.http.HttpResponse.getHeaderNames io.netty.handler.codec.http.HttpResponse.getHeaders io.netty.handler.codec.http.HttpResponse.isChunked io.netty.handler.codec.http.HttpResponse.getContent io.netty.buffer.ChannelBuffer.readable io.netty.buffer.ChannelBuffer.toString io.netty.channel.MessageEvent.getMessage io.netty.handler.codec.http.HttpChunk.isLast io.netty.handler.codec.http.HttpChunk.getContent'
'cgl.iotcloud.streaming.http.client.HttpClientPipelineFactory.getPipeline','io.netty.channel.Channels.pipeline io.netty.handler.logging.LoggingHandler.<init> io.netty.channel.ChannelPipeline.addLast io.netty.example.securechat.SecureChatSslContextFactory.getClientContext io.netty.handler.ssl.SslHandler.<init> io.netty.channel.ChannelPipeline.addLast io.netty.handler.codec.http.HttpClientCodec.<init> io.netty.channel.ChannelPipeline.addLast io.netty.handler.codec.http.HttpContentDecompressor.<init> io.netty.channel.ChannelPipeline.addLast io.netty.handler.codec.http.HttpChunkAggregator.<init> io.netty.channel.ChannelPipeline.addLast io.netty.example.http.snoop.HttpSnoopClientHandler.<init> io.netty.channel.ChannelPipeline.addLast'
'cgl.iotcloud.streaming.http.listener.HttpListener.HttpListener','io.netty.channel.group.DefaultChannelGroup.<init>'
'cgl.iotcloud.streaming.http.listener.HttpListener.start','io.netty.channel.socket.nio.NioServerSocketChannelFactory.<init> io.netty.bootstrap.ServerBootstrap.<init> io.netty.bootstrap.ServerBootstrap.setPipelineFactory io.netty.bootstrap.ServerBootstrap.bind io.netty.channel.group.ChannelGroup.add'
'cgl.iotcloud.streaming.http.listener.HttpListener.stop','io.netty.channel.group.ChannelGroup.close io.netty.channel.group.ChannelGroupFuture.awaitUninterruptibly io.netty.channel.socket.nio.NioServerSocketChannelFactory.releaseExternalResources'
