@relation resteasy

@attribute fqCaller string
@attribute fqCalls string

@data
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.verifyIgnoredUpdateWithInAuthority','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.readByName','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.readItemNonExistent','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.readItem','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.deleteItem','org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.readItemListInt','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getEntity'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.deleteNonExistentItem','org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.getStatus'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.updateItem','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus org.jboss.resteasy.client.ClientResponse<java.lang.String>.releaseConnection org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus org.jboss.resteasy.client.ClientResponse<java.lang.String>.releaseConnection'
'org.collectionspace.services.client.test.AbstractAuthorityServiceTest.updateNonExistentItem','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus org.jboss.resteasy.client.ClientResponse<java.lang.String>.releaseConnection'
'org.overlord.sramp.atom.services.AbstractFeedResource.createFeed','org.jboss.resteasy.plugins.providers.atom.Feed.<init> org.jboss.resteasy.plugins.providers.atom.Feed.setId org.jboss.resteasy.plugins.providers.atom.Feed.setTitle org.jboss.resteasy.plugins.providers.atom.Feed.setSubtitle org.jboss.resteasy.plugins.providers.atom.Feed.setUpdated org.jboss.resteasy.plugins.providers.atom.Feed.getAuthors org.jboss.resteasy.plugins.providers.atom.Person.<init> org.jboss.resteasy.plugins.providers.atom.Feed.getEntries'
'org.overlord.sramp.atom.services.AbstractFeedResource.addPaginationLinks','org.jboss.resteasy.plugins.providers.atom.Link.<init> org.jboss.resteasy.plugins.providers.atom.Link.<init> org.jboss.resteasy.plugins.providers.atom.Link.<init> org.jboss.resteasy.plugins.providers.atom.Feed.getLinks org.jboss.resteasy.plugins.providers.atom.Feed.getLinks org.jboss.resteasy.plugins.providers.atom.Feed.getLinks'
'org.collectionspace.services.client.test.AbstractPoxServiceTestImpl.extractPart','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getEntity'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getDriverProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getCustomerProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getProductProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getOrderProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getGPSDataProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.proxy.AbstractRestServiceProxyTest.getStatisticProxy','org.jboss.resteasy.client.ProxyFactory.create'
'edu.hm.lip.pizza.test.services.rest.pure.AbstractRestServicePureTest.getClient','org.jboss.resteasy.client.ClientRequest.<init> org.jboss.resteasy.client.ClientRequest.accept'
'org.collectionspace.services.client.AbstractServiceClientImpl.AbstractServiceClientImpl','org.jboss.resteasy.spi.ResteasyProviderFactory.getInstance org.jboss.resteasy.plugins.providers.RegisterBuiltin.register'
'org.collectionspace.services.client.AbstractServiceClientImpl.setProxy','org.jboss.resteasy.client.core.executors.ApacheHttpClientExecutor.<init> org.jboss.resteasy.client.ProxyFactory.create org.jboss.resteasy.client.ProxyFactory.create'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.createResource','org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.getStatus org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.releaseConnection'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.read','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getEntity'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.delete','org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.getStatus'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.readNonExistent','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.releaseConnection'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.deleteNonExistent','org.jboss.resteasy.client.ClientResponse<javax.ws.rs.core.Response>.getStatus'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.extractCommonPartValue','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getEntity'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.update','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.RESPONSE_TYPE>.getStatus'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.readList','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.CLT>.getEntity org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.CLT>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.CLT>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.client.test.CLT>.releaseConnection'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.readWorkflow','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.searchWorkflowDeleted','org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getEntity org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getStatus org.jboss.resteasy.client.ClientResponse<org.collectionspace.services.jaxb.AbstractCommonList>.getEntity'
'org.collectionspace.services.client.test.AbstractServiceTestImpl.updateNonExistent','org.jboss.resteasy.client.ClientResponse<java.lang.String>.getStatus'
