@relation restlet-framework-java

@attribute fqCaller string
@attribute fqCalls string

@data
'com.persistent.azure.acs.ACSAuthenticationHelper.formatResponse','org.restlet.engine.http.header.ChallengeWriter.<init> org.restlet.data.ChallengeResponse.getScheme org.restlet.engine.http.header.ChallengeWriter.append org.restlet.data.ChallengeResponse.getRawValue org.restlet.data.ChallengeResponse.getRawValue org.restlet.engine.http.header.ChallengeWriter.append org.restlet.data.ChallengeResponse.getIdentifier org.restlet.data.ChallengeResponse.getSecret org.restlet.engine.http.header.ChallengeWriter.toString'
'com.scss.core.APIRequest.APIRequest','org.restlet.Request.getMethod org.restlet.Request.getOriginalRef org.restlet.Request.getOriginalRef org.restlet.Request.getOriginalRef org.restlet.data.Form.getNames org.restlet.data.Form.getValues org.restlet.Request.getEntity org.restlet.representation.Representation.getStream org.restlet.representation.Representation.getAvailableSize'
'it.tika.APIServer.main','org.restlet.Component.<init> org.restlet.Component.getServers org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getDefaultHost org.restlet.Component.getClients org.restlet.Application.<init> org.restlet.Component.getDefaultHost org.restlet.Component.start'
'it.tika.APIServer.createInboundRoot','org.restlet.resource.Directory.<init>'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.getResourceStoreRequest','org.restlet.resource.ResourceException.<init> org.restlet.data.Request.getClientInfo org.restlet.data.Request.isConfidential org.restlet.data.Request.getAttributes org.restlet.data.Request.getOriginalRef'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.getPom','org.restlet.data.Request.getResourceRef org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.resource.ResourceException.<init>'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.getContent','org.restlet.data.Request.getResourceRef org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.data.Form.getFirstValue org.restlet.resource.ResourceException.<init> org.restlet.data.Response.setLocationRef org.restlet.data.Response.setStatus org.restlet.data.Reference.toString org.restlet.resource.Representation.setDownloadable org.restlet.resource.Representation.setDownloadName'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.upload','org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init>'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.buildUploadFailedHtmlResponse','org.restlet.resource.ResourceException.getMessage org.restlet.data.Request.getResourceRef org.restlet.resource.ResourceException.getStatus org.restlet.data.Response.setStatus'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.handleException','org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.data.Response.getStatus org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init>'
'org.sonatype.nexus.rest.artifact.AbstractArtifactPlexusResource.getMavenRepository','org.restlet.resource.ResourceException.<init> org.restlet.resource.ResourceException.<init>'
'org.sonatype.nexus.integrationtests.nexus3860.AbstractCargoIT.checkLogs','org.restlet.data.Response.getEntity org.restlet.data.Response.getStatus'
'org.sonatype.nexus.integrationtests.nexus3860.AbstractCargoIT.downloadAndConfirmLog','org.restlet.data.Response.getEntity org.restlet.data.Response.getEntity'
'no.java.ems.client.AbstractClient.setCredentials','org.restlet.data.ChallengeResponse.<init>'
'no.java.ems.client.AbstractClient.extractId','org.restlet.data.Response.getRedirectRef'
