@relation spring-data-mongodb

@attribute fqCaller string
@attribute fqCalls string

@data
'com.fb.restbucks.config.AppConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'com.fb.restbucks.config.AppConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'org.springframework.social.connect.mongo.ApplicationConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'org.springframework.social.connect.mongo.ApplicationConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'com.oreilly.springdata.mongodb.ApplicationConfig.customConversions','org.springframework.data.mongodb.core.convert.CustomConversions.<init>'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.save','org.springframework.data.mongodb.core.MongoOperations.save'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.findOne','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoOperations.findOne'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.findAll','org.springframework.data.mongodb.core.MongoOperations.findAll'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.delete','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoOperations.findAndRemove org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoOperations.findAndRemove'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.deleteAll','org.springframework.data.mongodb.core.MongoOperations.dropCollection'
'com.yourpackagename.framework.data.BaseMongoCrudRepository.update','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoOperations.findAndModify org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoOperations.findAndModify'
'org.axonframework.samples.trader.infra.mongo.CFMongoTemplate.database','org.springframework.data.mongodb.MongoDbFactory.getDb'
'org.axonframework.samples.trader.infra.mongo.CFSagaMongoTemplate.database','org.springframework.data.mongodb.MongoDbFactory.getDb'
'nl.enovation.addressbook.cqrs.infra.mongo.CFSagaMongoTemplate.database','org.springframework.data.mongodb.MongoDbFactory.getDb'
'org.wgrus.web.ChartController.getOrderData','org.springframework.data.mongodb.core.MongoTemplate.getCollection org.springframework.data.mongodb.core.MongoTemplate.getCollection org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'nl.enovation.addressbook.cqrs.query.repositories.ContactQueryRepositoryImpl.delete','org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Criteria.is org.springframework.data.mongodb.core.query.Query.query'
'nl.enovation.addressbook.cqrs.query.repositories.ContactQueryRepositoryImpl.deleteAll','org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Query.query'
'nl.enovation.addressbook.cqrs.query.repositories.ContactQueryRepositoryImpl.findOne','org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Criteria.is org.springframework.data.mongodb.core.query.Query.query'
'nl.enovation.addressbook.cqrs.query.repositories.ContactQueryRepositoryImpl.searchForNames','org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Criteria.regex org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Criteria.regex org.springframework.data.mongodb.core.query.Criteria.<init> org.springframework.data.mongodb.core.query.Criteria.orOperator org.springframework.data.mongodb.core.query.Query.query'
'com.bia.monitor.dao.Dao.Dao','org.springframework.data.mongodb.core.MongoTemplate.<init>'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.newMongoRepo','org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean.<init> org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean<com.github.adeshmukh.nopepix.db.mongo.T,?,?>.setRepositoryInterface org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean<com.github.adeshmukh.nopepix.db.mongo.T,?,?>.setMongoOperations org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean<com.github.adeshmukh.nopepix.db.mongo.T,?,?>.afterPropertiesSet org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean<com.github.adeshmukh.nopepix.db.mongo.T,?,?>.getObject'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.mongoOperations','org.springframework.data.mongodb.core.MongoTemplate.<init>'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.SimpleMongoDbFactory.setWriteConcern'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.mongo','org.springframework.data.mongodb.core.MongoOptionsFactoryBean.getObject'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.mongoOptionsFactoryBean','org.springframework.data.mongodb.core.MongoOptionsFactoryBean.<init> org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setConnectionsPerHost org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setConnectTimeout org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setMaxAutoConnectRetryTime org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setMaxWaitTime org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setSlaveOk org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setSocketKeepAlive org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setThreadsAllowedToBlockForConnectionMultiplier org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setWriteFsync org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setWriteNumber org.springframework.data.mongodb.core.MongoOptionsFactoryBean.setWriteTimeout'
'com.github.adeshmukh.nopepix.db.mongo.DbConfigurer.mongoExceptionTranslator','org.springframework.data.mongodb.core.MongoExceptionTranslator.<init>'
'org.springframework.integration.samples.mongodb.util.DemoUtils.prepareMongoFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection'
'com.github.dansmithy.sanjuan.model.update.GameUpdater.createMongoUpdate','org.springframework.data.mongodb.core.query.Update.<init> org.springframework.data.mongodb.core.query.Update.set'
'org.cloudfoundry.caldecott.client.HttpTunnelTest.testMongoDb','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init> org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.CollectionCallback<java.lang.Object>.<init> org.springframework.data.mongodb.core.MongoTemplate.execute org.springframework.data.mongodb.core.MongoTemplate.findAll'
'org.krams.service.InitMongoService.init','org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert'
'com.bia.monitor.service.JobCheck.updateJobDownOnSiteUp','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.MongoOperations.findOne org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobOnSiteUp','org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobOnSiteDown','org.springframework.data.mongodb.core.MongoOperations.save'
'com.bia.monitor.service.JobCheck.updateJobDownOnSiteDown','org.springframework.data.mongodb.core.MongoOperations.save'
'be.dhs.springmvc.MVCConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'be.dhs.springmvc.MVCConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'org.cloudfoundry.reconfiguration.data.document.MongoConfigurerTest.replacesUserDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'org.springframework.social.connect.mongo.MongoConnectionService.getMaxRank','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.create','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.social.connect.mongo.MongoConnectionService.update','org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.findAndModify'
'org.springframework.social.connect.mongo.MongoConnectionService.remove','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove'
'org.springframework.social.connect.mongo.MongoConnectionService.getPrimaryConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnections','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.orOperator org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort'
