@relation twitter4j

@attribute fqCaller string
@attribute fqCalls string

@data
'com.gsbina.android.adot4j4a.ADOT4J4A.writeToken','twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret'
'org.encuestame.core.service.AbstractBaseService.getAccessToken','twitter4j.Twitter.getOAuthAccessToken twitter4j.http.AccessToken.getToken twitter4j.http.AccessToken.getTokenSecret twitter4j.Twitter.setOAuthAccessToken twitter4j.http.AccessToken.getScreenName'
'io.beancounter.publisher.twitter.adapters.AbstractTwitterIntegrationTest.initializeTwitter','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer twitter4j.auth.AccessToken.<init> twitter4j.Twitter.setOAuthAccessToken'
'com.rhymestore.twitter.AccessTokenGenerator.main','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.getOAuthRequestToken twitter4j.auth.RequestToken.getAuthorizationURL twitter4j.Twitter.getOAuthAccessToken twitter4j.auth.AccessToken.getToken twitter4j.auth.AccessToken.getTokenSecret twitter4j.Twitter.shutdown'
'com.t3hh4xx0r.tweezee.twitter.AccountManager.setProfilePic','twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.getProfileImage twitter4j.ProfileImage.getURL'
'org.mariotaku.twidere.fragment.ActivitiesAboutMeFragment.onListItemClick','twitter4j.Activity.Action.getActionId twitter4j.User.getId twitter4j.User.getScreenName twitter4j.User.getId twitter4j.User.getScreenName twitter4j.User.getId twitter4j.User.getScreenName'
'org.mariotaku.twidere.fragment.ActivitiesAboutMeFragment.ActivitiesAdapter.getView','twitter4j.User.getName twitter4j.User.getScreenName twitter4j.Activity.Action.getActionId twitter4j.Status.getText twitter4j.Status.getText twitter4j.Status.getInReplyToStatusId twitter4j.Status.getInReplyToScreenName twitter4j.Status.getInReplyToScreenName twitter4j.User.getProfileImageURL twitter4j.Status.getText twitter4j.Status.getInReplyToStatusId twitter4j.Status.getInReplyToScreenName twitter4j.Status.getInReplyToScreenName twitter4j.User.getProfileImageURL twitter4j.Status.getText'
'org.mariotaku.twidere.fragment.ActivitiesAboutMeFragment.ActivitiesAdapter.setUserProfileImages','twitter4j.User.getProfileImageURL twitter4j.User.getProfileImageURL'
'org.mariotaku.twidere.loader.ActivitiesAboutMeLoader.getActivities','twitter4j.Twitter.getActivitiesAboutMe'
'controllers.AdminController.oauth','twitter4j.auth.RequestToken.getAuthenticationURL twitter4j.TwitterException.getMessage'
'controllers.AdminController.callback','twitter4j.TwitterException.getMessage'
'com.twitstreet.twitter.AdsListenerMgrImpl.start','twitter4j.TwitterStreamFactory.<init> twitter4j.TwitterStreamFactory.getInstance twitter4j.TwitterStream.setOAuthConsumer twitter4j.auth.AccessToken.<init> twitter4j.TwitterStream.setOAuthAccessToken twitter4j.StatusListener.<init> twitter4j.TwitterStream.addListener twitter4j.FilterQuery.<init> twitter4j.FilterQuery.count twitter4j.FilterQuery.track twitter4j.TwitterStream.filter'
'com.twitstreet.twitter.AdsListenerMgrImpl.onStatus','twitter4j.Status.getHashtagEntities twitter4j.Status.getUser twitter4j.Status.getUser twitter4j.Status.getId twitter4j.Status.getId twitter4j.Status.getUser twitter4j.Status.getId'
'com.twitstreet.twitter.AdsListenerMgrImpl.constructAdsMessage','twitter4j.HashtagEntity.getText'
'com.twitstreet.twitter.AmazonBirdListenerMgrImpl.start','twitter4j.TwitterStreamFactory.<init> twitter4j.TwitterStreamFactory.getInstance twitter4j.TwitterStream.setOAuthConsumer twitter4j.auth.AccessToken.<init> twitter4j.TwitterStream.setOAuthAccessToken twitter4j.StatusListener.<init> twitter4j.TwitterStream.addListener twitter4j.FilterQuery.<init> twitter4j.FilterQuery.count twitter4j.FilterQuery.track twitter4j.TwitterStream.filter'
'com.twitstreet.twitter.AmazonBirdListenerMgrImpl.onStatus','twitter4j.Status.getHashtagEntities twitter4j.Status.getUser twitter4j.Status.getUser twitter4j.Status.getText twitter4j.Status.getText twitter4j.Status.getId twitter4j.Status.getId twitter4j.Status.getId'
'com.twitstreet.twitter.AmazonBirdListenerMgrImpl.constructAdsMessage','twitter4j.HashtagEntity.getText'
'com.robertszkutak.androidexamples.twitterexample.AndroidTwitterExample.isAuthenticated','twitter4j.auth.AccessToken.<init> twitter4j.TwitterFactory.<init> twitter4j.TwitterFactory.getInstance twitter4j.Twitter.setOAuthConsumer twitter4j.Twitter.setOAuthAccessToken twitter4j.Twitter.getAccountSettings twitter4j.TwitterException.getMessage'
