@relation webobjects

@attribute fqCaller string
@attribute fqCalls string

@data
'er.attachment.components.viewers.AbstractERAttachmentViewer.attachmentUrl','com.webobjects.appserver.WOContext.request'
'com.wounit.rules.AbstractEditingContextRule.UnderTestFacade.create','com.webobjects.eoaccess.EOUtilities.entityForClass com.webobjects.eoaccess.EOEntity.name com.webobjects.eoaccess.EOUtilities.createAndInsertInstance'
'com.wounit.rules.AbstractEditingContextRule.AbstractEditingContextRule','com.webobjects.eoaccess.EOModelGroup.setClassDelegate'
'com.wounit.rules.AbstractEditingContextRule.after','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.modelNamed com.webobjects.eoaccess.EOModelGroup.removeModel'
'com.wounit.rules.AbstractEditingContextRule.loadModel','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.modelNamed com.webobjects.eoaccess.EOModelGroup.addModelWithPathURL'
'com.wounit.rules.AbstractEditingContextTest.clearEditingContextChangesAfterTestExecution','com.webobjects.foundation.NSArray<com.wounit.model.FooEntity>.isEmpty'
'com.wounit.rules.AbstractEditingContextTest.doNotRemoveModelsNotLoadedByTheEditingContextRule','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.enablePrototypesOverriding','com.webobjects.eoaccess.EOEntity.attributeNamed com.webobjects.eoaccess.EOAttribute.scale'
'com.wounit.rules.AbstractEditingContextTest.loadMoreThanOneModel','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.loadOneModel','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.loadOneModelInsideResourcesFolder','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.removeModelsLoadedByTheTemporaryEditingContextAfterTestExecution','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.tearDown','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.modelNamed com.webobjects.eoaccess.EOModelGroup.removeModel'
'er.imadaptor.components.AbstractIMSearchAction.AbstractIMSearchAction','com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.appserver._private.WODynamicElementCreationException.<init> com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.appserver._private.WODynamicElementCreationException.<init> com.webobjects.appserver._private.WODynamicElementCreationException.<init> com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.appserver._private.WODynamicElementCreationException.<init>'
'er.imadaptor.components.AbstractIMSearchAction.selectedValues','com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSDictionary.keyEnumerator com.webobjects.foundation.NSDictionary.objectForKey com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSArray.objectEnumerator com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject'
'er.imadaptor.components.AbstractIMSearchAction.actionInvoked','com.webobjects.appserver.WOContext.component com.webobjects.appserver.WOAssociation.valueInComponent com.webobjects.appserver.WOAssociation.valueInComponent com.webobjects.appserver.WOAssociation.valueInComponent com.webobjects.appserver.WOAssociation.valueInComponent com.webobjects.appserver.WOAssociation.setValue com.webobjects.foundation.NSArray.count com.webobjects.foundation.NSArray.objectAtIndex com.webobjects.appserver.WOAssociation.setValue'
'com.woinject.AbstractInjectableTestCase.initMainBundle','com.webobjects.foundation.NSBundle.name com.webobjects.foundation.NSBundle.bundlePathURL com.webobjects.foundation.NSBundle._setMainBundle'
'er.woadaptor.websockets.AbstractWOWebSocketFactory.create','com.webobjects.foundation.NSForwardException._runtimeExceptionForThrowable com.webobjects.appserver.WOApplication.application com.webobjects.appserver.WOSession.context'
'org.cocktail.ipweb.serveur.components.page.AccesIpAnonyme.preinscritToujoursAnonyme','com.webobjects.foundation.NSArray.<init> com.webobjects.eocontrol.EOQualifier.qualifierWithQualifierFormat com.webobjects.eocontrol.EOFetchSpecification.<init> com.webobjects.eocontrol.EOEditingContext.objectsWithFetchSpecification com.webobjects.foundation.NSArray.count'
'org.cocktail.ipweb.serveur.components.page.AccesIpAnonyme.setDateNaissEtud','com.webobjects.foundation.NSTimestampFormatter.<init> com.webobjects.foundation.NSTimestampFormatter.parseObjectInUTC com.webobjects.foundation.NSTimestamp.timestampByAddingGregorianUnits com.webobjects.foundation.NSTimestamp.timestampByAddingGregorianUnits'
'com.dyned.conf.comp.AdminsBanner.logout','com.webobjects.foundation.NSDictionary.<init> com.webobjects.appserver.WORedirect.setUrl'
'com.dyned.conf.comp.AdminsLogin.loginAdministrator','com.webobjects.foundation.NSDictionary<java.lang.Object,java.lang.Object>.<init> com.webobjects.eoaccess.EOUtilities.objectMatchingValues com.webobjects.eoaccess.EOObjectNotAvailableException.getMessage com.webobjects.eoaccess.EOObjectNotAvailableException.printStackTrace com.webobjects.eocontrol.EOEditingContext.saveChanges com.webobjects.eocontrol.EOEditingContext.revert'
'com.dyned.conf.comp.AdminsPage.saveFormData','com.webobjects.eoaccess.EOUtilities.createAndInsertInstance com.webobjects.foundation.NSTimestamp.<init> com.webobjects.foundation.NSTimestamp.<init>'
'er.ajax.AjaxAccordion.createAjaxOptions','com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject'
'er.ajax.AjaxAutoComplete.createAjaxOptions','com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject'
'er.ajax.AjaxAutoComplete.appendToResponse','com.webobjects.foundation.NSMutableDictionary.objectForKey com.webobjects.foundation.NSMutableDictionary.setObjectForKey com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString'
'er.ajax.AjaxAutoComplete.listeJS','com.webobjects.foundation.NSArray.count com.webobjects.foundation.NSArray.objectAtIndex'
'er.ajax.AjaxAutoComplete.setStringValue','com.webobjects.foundation.NSArray.objectEnumerator'
'er.ajax.AjaxAutoComplete.appendItemToResponse','com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOContext._setCurrentComponent com.webobjects.appserver.WOElement.appendToResponse com.webobjects.appserver.WOContext._setCurrentComponent com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString'
'er.ajax.AjaxAutoComplete.handleRequest','com.webobjects.appserver.WOContext.request com.webobjects.appserver.WOResponse.appendContentString com.webobjects.foundation.NSArray.objectEnumerator com.webobjects.appserver.WOResponse.appendContentString'
'er.ajax.AjaxBehaviour.appendToResponse','com.webobjects.appserver.WOContext.component com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString'
'er.ajax.AjaxComponent.appendTagAttributeToResponse','com.webobjects.appserver.WOResponse._appendTagAttributeAndValue'
'er.ajax.AjaxDatePicker.awake','com.webobjects.foundation.NSTimestampFormatter.<init> com.webobjects.foundation.NSTimestampFormatter.pattern com.webobjects.foundation.NSTimestampFormatter.<init>'
'er.ajax.AjaxDatePicker.localizeStringArray','com.webobjects.foundation.NSArray<java.lang.String>.count com.webobjects.foundation.NSMutableArray<java.lang.String>.<init> com.webobjects.foundation.NSMutableArray<java.lang.String>.add com.webobjects.foundation.NSMutableArray<java.lang.String>.immutableClone'
'er.ajax.AjaxDatePicker.appendToResponse','com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.<init> com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject com.webobjects.foundation.NSMutableArray<er.ajax.AjaxOption>.addObject'
'er.ajax.AjaxDatePicker.validationFailedWithException','com.webobjects.appserver.WOAssociation.keyPath'
'er.ajax.AjaxDefaultSubmitButton.appendToResponse','com.webobjects.appserver.WOContext.component com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOContext.request com.webobjects.appserver.WOResponse.appendContentString'
'er.ajax.AjaxDraggable.draggableObjectForPage','com.webobjects.appserver.WOComponent.context'
'er.ajax.AjaxDraggable.appendToResponse','com.webobjects.appserver.WOContext.session com.webobjects.appserver.WOContext.session'
'er.ajax.AjaxDraggable.createAjaxOptions','com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject'
'er.ajax.AjaxDroppable.appendToResponse','com.webobjects.appserver.WOContext.elementID'
