@relation weld

@attribute fqCaller string
@attribute fqCalls string

@data
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.AbstractDeployment','org.jboss.weld.bootstrap.api.helpers.SimpleServiceRegistry.<init>'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.configureServices','org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.transform','org.jboss.weld.bootstrap.spi.Metadata<javax.enterprise.inject.spi.Extension>.<init>'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.AbstractDeployment','org.jboss.weld.bootstrap.api.helpers.SimpleServiceRegistry.<init>'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.configureServices','org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.AbstractDeployment.transform','org.jboss.weld.bootstrap.spi.Metadata<javax.enterprise.inject.spi.Extension>.<init>'
'com.ctp.javaone.archiver.swing.AppWindow.run','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.event org.jboss.weld.environment.se.events.ContainerInitialized.<init>'
'pl.softwaremill.common.cdi.autofactory.extension.AutoFactoryFromCreatedWithCreator.createInjectionTargetWithoutValidation','org.jboss.weld.manager.BeanManagerImpl.getServices org.jboss.weld.manager.SimpleInjectionTarget<UNRESOLVED.T>.<init>'
'org.jboss.as.weld.deployment.BeanDeploymentArchiveImpl.BeanDeploymentArchiveImpl','org.jboss.weld.bootstrap.api.helpers.SimpleServiceRegistry.<init> org.jboss.weld.bootstrap.api.ServiceRegistry.add'
'juzu.impl.inject.spi.cdi.weld.BeanDeploymentArchiveImpl.BeanDeploymentArchiveImpl','org.jboss.weld.resources.ClassLoaderResourceLoader.<init> org.jboss.weld.bootstrap.api.helpers.SimpleServiceRegistry.<init> org.jboss.weld.bootstrap.api.ServiceRegistry.add'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.BeanDeploymentArchiveImpl.BeanDeploymentArchiveImpl','org.jboss.weld.bootstrap.api.helpers.SimpleServiceRegistry.<init>'
'org.jboss.arquillian.container.weld.ee.embedded_1_1.mock.BeanDeploymentArchiveImpl.configureServices','org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add org.jboss.weld.bootstrap.api.ServiceRegistry.add'
'pl.softwaremill.common.cdi.autofactory.extension.parameter.BeanManagerParameterValue.getValue','org.jboss.weld.Container.instance org.jboss.weld.injection.CurrentInjectionPoint.peek org.jboss.weld.injection.CurrentInjectionPoint.push org.jboss.weld.injection.CurrentInjectionPoint.pop'
'pl.softwaremill.common.cdi.autofactory.extension.parameter.BeanManagerParameterValue.findParameterInjectionPoint','org.jboss.weld.injection.ConstructorInjectionPoint.getWeldParameters org.jboss.weld.injection.ParameterInjectionPoint.getBaseType'
'org.jboss.as.weld.deployment.BeansXmlHandler.processEndChildElement','org.jboss.weld.xml.XmlMetadata<java.lang.String>.<init> org.jboss.weld.xml.XmlMetadata<java.lang.String>.<init> org.jboss.weld.xml.XmlMetadata<java.lang.String>.<init> org.jboss.weld.xml.XmlMetadata<java.lang.String>.<init> org.jboss.weld.metadata.FilterImpl.<init> org.jboss.weld.xml.XmlMetadata<org.jboss.weld.bootstrap.spi.Filter>.<init>'
'org.jboss.as.weld.deployment.BeansXmlHandler.handleMultiple','org.jboss.weld.exceptions.DefinitionException.<init> org.jboss.weld.exceptions.DefinitionException.<init> org.jboss.weld.exceptions.DefinitionException.<init> org.jboss.weld.exceptions.DefinitionException.<init>'
'org.jboss.as.weld.deployment.BeansXmlHandler.processStartChildElement','org.jboss.weld.metadata.SystemPropertyActivationImpl.<init> org.jboss.weld.xml.XmlMetadata<org.jboss.weld.bootstrap.spi.SystemPropertyActivation>.<init> org.jboss.weld.metadata.ClassAvailableActivationImpl.<init> org.jboss.weld.xml.XmlMetadata<org.jboss.weld.bootstrap.spi.ClassAvailableActivation>.<init>'
'org.jboss.as.weld.deployment.BeansXmlHandler.createBeansXml','org.jboss.weld.metadata.ScanningImpl.<init> org.jboss.weld.metadata.BeansXmlImpl.<init>'
'org.jboss.as.weld.deployment.BeansXmlParser.parse','org.jboss.weld.bootstrap.spi.BeansXml.getEnabledAlternativeStereotypes org.jboss.weld.bootstrap.spi.BeansXml.getEnabledAlternativeClasses org.jboss.weld.bootstrap.spi.BeansXml.getEnabledDecorators org.jboss.weld.bootstrap.spi.BeansXml.getEnabledInterceptors org.jboss.weld.bootstrap.spi.BeansXml.getScanning org.jboss.weld.bootstrap.spi.BeansXml.getScanning org.jboss.weld.metadata.ScanningImpl.<init> org.jboss.weld.metadata.BeansXmlImpl.<init>'
'org.hibernate.ogm.demo.intro.action.BookManagerTest.testQuery','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.instance org.jboss.weld.environment.se.Weld.shutdown'
'org.hibernate.ogm.demo.intro.action.BookManagerTest.testUserCreation','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.instance org.jboss.weld.environment.se.Weld.shutdown'
'org.jboss.hibernateUniversity.criteria.action.BookManagerTest.testQuery','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.instance org.jboss.weld.environment.se.Weld.shutdown'
'org.jboss.hibernateUniversity.criteria.action.BookManagerTest.testUserCreation','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.instance org.jboss.weld.environment.se.Weld.shutdown'
'any.BootStrapCDI.main','org.jboss.weld.environment.se.Weld.<init> org.jboss.weld.environment.se.Weld.initialize org.jboss.weld.environment.se.WeldContainer.instance'
