@relation wicket

@attribute fqCaller string
@attribute fqCalls string

@data
'org.headsupdev.agile.app.docs.APIDocs.layout','org.apache.wicket.markup.html.CSSPackageResource.getHeaderContribution org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.model.Model<java.lang.String>.<init> org.apache.wicket.AttributeModifier.<init> org.apache.wicket.markup.html.WebMarkupContainer.add org.apache.wicket.markup.html.WebMarkupContainer.setVisible org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setVisible org.apache.wicket.markup.html.link.Link.<init> org.apache.wicket.markup.html.WebMarkupContainer.add'
'com.wicketinaction.requestmappers.APage.getMarkupResourceStream','org.apache.wicket.util.resource.StringResourceStream.<init>'
'info.piwai.funkyjfunctional.wicket.apitest.ARONTest.callableReturnsFortyTwo','org.apache.wicket.model.AbstractReadOnlyModel<java.lang.String>.getObject'
'wicket.contrib.activewidgets.examples.web.AWApplication.init','org.apache.wicket.spring.injection.annot.SpringComponentInjector.<init>'
'org.headsupdev.agile.framework.About.layout','org.apache.wicket.markup.html.CSSPackageResource.getHeaderContribution org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setVisible'
'org.geoserver.web.AboutGeoServerPage.AboutGeoServerPage','org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'org.headsupdev.agile.framework.AboutPanel.AboutPanel','org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.jetwick.ui.About.onClick','org.apache.wicket.PageParameters.<init> org.apache.wicket.PageParameters.add org.apache.wicket.PageParameters.add'
'de.jetwick.ui.About.About','org.apache.wicket.markup.html.link.Link.<init>'
'de.wicketpraxis.web.thema.komponenten.ajax.AbstractAjaxEvent.fire','org.apache.wicket.Component.getPage'
'de.wicketpraxis.web.thema.komponenten.ajax.AbstractAjaxEvent.update','org.apache.wicket.ajax.AjaxRequestTarget.add'
'org.odlabs.wiquery.core.behavior.AbstractAjaxEventCallback.getExtraParameters','org.apache.wicket.ajax.attributes.CallbackParameter.context org.apache.wicket.ajax.attributes.CallbackParameter.context org.apache.wicket.ajax.attributes.CallbackParameter.resolved'
'org.wicketstuff.dojo11.dojofx.AbstractAnimationBehavior.onComponentTag','org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.ComponentTag.getAttributes org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.ComponentTag.getAttributes'
'org.wicketstuff.dojo11.dojofx.AbstractAnimationBehavior.renderHead','org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.html.IHeaderResponse.renderOnDomReadyJavascript'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.InnerAutocomplete.renderHead','org.apache.wicket.markup.head.JavaScriptHeaderItem.forReference org.apache.wicket.markup.head.IHeaderResponse.render'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.InnerAutocomplete.setCloseEvent','org.apache.wicket.WicketRuntimeException.<init>'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.InnerAutocomplete.setSelectEvent','org.apache.wicket.WicketRuntimeException.<init>'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.InnerAutocomplete.setChangeEvent','org.apache.wicket.WicketRuntimeException.<init>'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.InnerAutocomplete.setSource','org.apache.wicket.WicketRuntimeException.<init>'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.AbstractAutocompleteComponent','org.apache.wicket.model.Model<java.lang.String>.<init> org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.<init> org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.setOutputMarkupId org.apache.wicket.model.IModel<java.lang.String>.<init> org.apache.wicket.ajax.AbstractDefaultAjaxBehavior.<init>'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.getObject','org.apache.wicket.markup.html.form.IChoiceRenderer<? super org.odlabs.wiquery.ui.autocomplete.T>.getDisplayValue org.apache.wicket.util.convert.IConverter<org.odlabs.wiquery.ui.autocomplete.T>.convertToString'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.respond','org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.getInput org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.setConvertedInput'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.convertInput','org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.getConvertedInput org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.html.form.IChoiceRenderer<? super org.odlabs.wiquery.ui.autocomplete.T>.getDisplayValue org.apache.wicket.markup.html.form.IChoiceRenderer<? super org.odlabs.wiquery.ui.autocomplete.T>.getIdValue'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.newAutocompleteJson','org.apache.wicket.markup.html.form.IChoiceRenderer<? super org.odlabs.wiquery.ui.autocomplete.T>.getDisplayValue org.apache.wicket.util.convert.IConverter<org.odlabs.wiquery.ui.autocomplete.T>.convertToString org.apache.wicket.markup.html.form.IChoiceRenderer<? super org.odlabs.wiquery.ui.autocomplete.T>.getIdValue org.apache.wicket.markup.html.form.HiddenField<java.lang.String>.setModelObject'
'org.odlabs.wiquery.ui.autocomplete.AbstractAutocompleteComponent.getChoiceRenderer','org.apache.wicket.markup.html.form.ChoiceRenderer<org.odlabs.wiquery.ui.autocomplete.T>.<init>'
'net.rrm.ehour.ui.common.page.AbstractBasePage.setupPage','org.apache.wicket.markup.html.basic.Label.<init>'
'net.rrm.ehour.ui.common.page.AbstractBasePage.createDebugBar','org.apache.wicket.devutils.debugbar.DebugBar.<init> org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setVisible'
'almira.sample.web.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.ResourceModel.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.PropertyModel<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.Model<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.thema.howto.basepage.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.LoadableDetachableModel<de.wicketpraxis.web.thema.howto.basepage.nav.NavCallbackInterface>.<init> org.apache.wicket.markup.html.WebMarkupContainer.<init>'
'de.wicketpraxis.web.thema.howto.basepage.AbstractBasePage.renderHead','org.apache.wicket.request.resource.PackageResourceReference.<init> org.apache.wicket.markup.head.CssReferenceHeaderItem.forReference org.apache.wicket.markup.head.IHeaderResponse.render'
'de.wicketpraxis.web.pages.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.Model.of org.apache.wicket.model.Model.of org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.pages.AbstractBasePage.renderHead','org.apache.wicket.request.resource.PackageResourceReference.<init> org.apache.wicket.markup.head.CssReferenceHeaderItem.forReference org.apache.wicket.markup.head.IHeaderResponse.render'
'de.wicketpraxis.apps.example.pages.AbstractBasePage.renderHead','org.apache.wicket.markup.html.IHeaderContributor.renderHead'
'de.wicketpraxis.web.thema.komponenten.vererbung.extension2.AbstractBasePanel.AbstractBasePanel','org.apache.wicket.markup.html.basic.Label.<init>'
