@relation andengine

@attribute fqCaller string
@attribute fqCalls string

@data
'org.androidaalto.antifrog.AntiFrogScene.AntiFrogScene','org.andengine.entity.scene.background.AutoParallaxBackground.<init> org.andengine.entity.sprite.Sprite.<init> org.andengine.entity.scene.background.ParallaxBackground.ParallaxEntity.<init> org.andengine.entity.scene.background.AutoParallaxBackground.attachParallaxEntity'
'org.androidaalto.antifrog.AntiFrogScene.showScore','org.andengine.entity.text.Text.<init> org.andengine.entity.text.Text.getWidth org.andengine.entity.text.Text.getHeight org.andengine.entity.text.Text.setPosition org.andengine.entity.text.Text.setRotation'
'org.androidaalto.antifrog.AntiFrogScene.createExplosion','org.andengine.entity.particle.emitter.PointParticleEmitter.<init> org.andengine.entity.IEntityFactory<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.initializer.VelocityParticleInitializer<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleInitializer org.andengine.entity.particle.modifier.AlphaParticleModifier<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleModifier org.andengine.entity.particle.modifier.RotationParticleModifier<org.andengine.entity.primitive.Rectangle>.<init> org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.addParticleModifier org.andengine.entity.IEntity.attachChild org.andengine.engine.handler.timer.ITimerCallback.<init> org.andengine.engine.handler.timer.TimerHandler.<init> org.andengine.entity.IEntity.registerUpdateHandler'
'org.androidaalto.antifrog.AntiFrogScene.create','org.andengine.ui.activity.SimpleBaseGameActivity.getVertexBufferObjectManager org.andengine.entity.primitive.Rectangle.<init> org.andengine.entity.primitive.Rectangle.setColor'
'org.androidaalto.antifrog.AntiFrogScene.onTimePassed','org.andengine.entity.particle.ParticleSystem<org.andengine.entity.primitive.Rectangle>.detachSelf org.andengine.entity.IEntity.sortChildren org.andengine.entity.IEntity.unregisterUpdateHandler'
'com.ctlayon.gravitywell.Ball.Ball','org.andengine.entity.sprite.Sprite.<init>'
'com.ctlayon.gravitywell.Ball.getWidth','org.andengine.entity.sprite.Sprite.getWidth'
'com.ctlayon.gravitywell.Ball.getHeight','org.andengine.entity.sprite.Sprite.getHeight'
'com.ctlayon.gravitywell.Ball.getY','org.andengine.entity.sprite.Sprite.getY'
'com.ctlayon.gravitywell.Ball.getX','org.andengine.entity.sprite.Sprite.getX'
'com.ctlayon.gravitywell.Ball.move','org.andengine.entity.sprite.Sprite.setPosition org.andengine.engine.camera.Camera.getHeight org.andengine.engine.camera.Camera.getWidth'
'com.ctlayon.gravitywell.Ball.setPosition','org.andengine.entity.sprite.Sprite.setPosition'
'com.ctlayon.gravitywell.Ball.collidesWith','org.andengine.entity.sprite.Sprite.collidesWith'
'com.paperplanez.BalloonLayer.restart','org.andengine.entity.modifier.MoveModifier.<init> org.andengine.entity.modifier.MoveXModifier.<init> org.andengine.entity.modifier.MoveXModifier.<init> org.andengine.entity.modifier.MoveYModifier.<init> org.andengine.entity.modifier.MoveYModifier.<init> org.andengine.entity.modifier.SequenceEntityModifier.<init> org.andengine.entity.modifier.LoopEntityModifier.<init>'
'com.ctlayon.gravitywell.BaseActivity.onCreateEngineOptions','org.andengine.engine.camera.Camera.<init> org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy.<init> org.andengine.engine.options.EngineOptions.<init>'
'com.ctlayon.gravitywell.BaseActivity.onCreateResources','org.andengine.util.adt.io.in.IInputStreamOpener.<init> org.andengine.opengl.texture.bitmap.BitmapTexture.<init> org.andengine.util.adt.io.in.IInputStreamOpener.<init> org.andengine.opengl.texture.bitmap.BitmapTexture.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.createFromAsset org.andengine.opengl.texture.ITexture.load org.andengine.opengl.texture.ITexture.load org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.load org.andengine.opengl.texture.region.TextureRegionFactory.extractFromTexture org.andengine.opengl.texture.region.TextureRegionFactory.extractFromTexture org.andengine.opengl.font.FontFactory.create org.andengine.opengl.font.Font.load org.andengine.util.debug.Debug.e'
'com.ctlayon.gravitywell.BaseActivity.onCreateScene','org.andengine.entity.util.FPSLogger.<init>'
'com.paperplanez.BaseActivity.onCreateEngineOptions','org.andengine.engine.camera.Camera.<init> org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy.<init> org.andengine.engine.options.EngineOptions.<init>'
'com.paperplanez.BaseActivity.onCreateResources','org.andengine.opengl.font.FontFactory.create org.andengine.opengl.font.Font.load org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.<init> org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory.createFromAsset org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas.load'
'com.paperplanez.BaseActivity.onCreateScene','org.andengine.entity.util.FPSLogger.<init>'
'com.wordpress.jimmaru.android.jimvaderstutorial.BaseActivity.onCreateEngineOptions','org.andengine.engine.camera.Camera.<init> org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy.<init> org.andengine.engine.options.EngineOptions.<init>'
'com.wordpress.jimmaru.android.jimvaderstutorial.BaseActivity.onCreateResources','org.andengine.opengl.font.FontFactory.create org.andengine.opengl.font.Font.load'
