@relation camel

@attribute fqCaller string
@attribute fqCalls string

@data
'org.apache.activemq.camel.AMQ2611Test.createCamelContext','org.apache.camel.impl.DefaultCamelContext.<init> org.apache.camel.CamelContext.addComponent org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.CamelContext.addRoutes org.apache.camel.CamelContext.start org.apache.camel.CamelContext.createProducerTemplate org.apache.camel.ProducerTemplate.sendBody'
'org.apache.activemq.camel.AMQ2611Test.destroyCamelContext','org.apache.camel.CamelContext.stop'
'org.apache.servicemix.camel.nmr.AbstractComponentTest.createRegistry','org.apache.camel.impl.JndiRegistry.bind'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowTest.testConvert','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowTest.testMarshal','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.flow.process.AbstractFlowTest.testSkip','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.sendBody org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied'
'org.openehealth.ipf.platform.camel.ihe.hl7v2ws.AbstractHl7v2WebService.doProcess','org.apache.camel.Exchange.getProperty'
'org.openehealth.ipf.platform.camel.core.AbstractRouteTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.core.AbstractRouteTest.sendBodies','org.apache.camel.ProducerTemplate.sendBody'
'org.openehealth.ipf.platform.camel.flow.process.AbstractSplitTest.tearDown','org.apache.camel.component.mock.MockEndpoint.reset org.apache.camel.component.mock.MockEndpoint.reset'
'org.openehealth.ipf.platform.camel.flow.process.AbstractSplitTest.testIpfSplitter','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getExchanges org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractSplitTest.testIpfSplitterAgg','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getExchanges org.apache.camel.component.mock.MockEndpoint.getExchanges org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractSplitTest.testIpfSplitterSingleResultSplit','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.ProducerTemplate.send org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getExchanges'
'org.openehealth.ipf.platform.camel.flow.process.AbstractSplitTest.createExchange','org.apache.camel.impl.DefaultExchange.<init> org.apache.camel.Exchange.getIn'
'org.openehealth.ipf.platform.camel.ihe.ws.AbstractWebService.process','org.apache.camel.Exchange.getIn org.apache.camel.Message.setBody org.apache.camel.Message.getHeaders org.apache.camel.Exchange.setProperty org.apache.camel.Exchange.getProperty'
'org.fusesource.fabric.fab.sample.camel.Activator.startCamel','org.apache.camel.impl.DefaultCamelContext.<init> org.apache.camel.impl.converter.CorePackageScanClassResolver.<init> org.apache.camel.impl.converter.CorePackageScanClassResolver.<init> org.apache.camel.impl.DefaultCamelContext.getInjector org.apache.camel.impl.DefaultCamelContext.getFactoryFinder org.apache.camel.impl.converter.DefaultTypeConverter.<init> org.apache.camel.impl.DefaultCamelContext.setTypeConverterRegistry org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.impl.DefaultCamelContext.addRoutes org.apache.camel.impl.DefaultCamelContext.start'
'org.fusesource.fabric.fab.sample.camel.Activator.stopCamel','org.apache.camel.impl.DefaultCamelContext.stop'
'org.fusesource.fabric.fab.sample.camel.Activator.startCamel','org.apache.camel.impl.DefaultCamelContext.<init> org.apache.camel.impl.converter.CorePackageScanClassResolver.<init> org.apache.camel.impl.converter.CorePackageScanClassResolver.<init> org.apache.camel.impl.DefaultCamelContext.getInjector org.apache.camel.impl.DefaultCamelContext.getFactoryFinder org.apache.camel.impl.converter.DefaultTypeConverter.<init> org.apache.camel.impl.DefaultCamelContext.setTypeConverterRegistry org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.impl.DefaultCamelContext.addRoutes org.apache.camel.impl.DefaultCamelContext.start'
'org.fusesource.fabric.fab.sample.camel.Activator.stopCamel','org.apache.camel.impl.DefaultCamelContext.stop'
'org.apache.activemq.camel.component.ActiveMQConfigureTest.testJmsTemplateUsesPoolingConnectionFactory','org.apache.camel.component.jms.JmsEndpoint.createProducer org.apache.camel.component.jms.JmsProducer.getInOutTemplate'
'org.apache.activemq.camel.component.ActiveMQConfigureTest.testJmsTemplateUsesSingleConnectionFactory','org.apache.camel.component.jms.JmsEndpoint.createProducer org.apache.camel.component.jms.JmsProducer.getInOutTemplate'
'org.apache.activemq.camel.component.ActiveMQConfigureTest.testSessionTransactedWithoutTransactionManager','org.apache.camel.component.jms.JmsEndpoint.getConfiguration org.apache.camel.component.jms.JmsEndpoint.isTransacted org.apache.camel.component.jms.JmsConfiguration.isTransacted org.apache.camel.component.jms.JmsEndpoint.getTransactionManager org.apache.camel.component.jms.JmsConfiguration.getTransactionManager'
'org.apache.activemq.camel.component.ActiveMQConfigureTest.testJmsTemplateDoesNotUsePoolingConnectionFactory','org.apache.camel.component.jms.JmsEndpoint.createProducer org.apache.camel.component.jms.JmsProducer.getInOutTemplate'
'org.apache.activemq.camel.component.ActiveMQConfigureTest.testListenerContainerUsesSpringConnectionFactory','org.apache.camel.processor.CamelLogger.<init> org.apache.camel.component.jms.JmsEndpoint.createConsumer org.apache.camel.component.jms.JmsConsumer.getListenerContainer'
'org.apache.activemq.camel.component.ActiveMQJmsHeaderRouteTest.testForwardingAMessageAcrossJMSKeepingCustomJMSHeaders','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.message org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getReceivedExchanges org.apache.camel.Exchange.getIn'
'org.apache.activemq.camel.component.ActiveMQJmsHeaderRouteTest.createCamelContext','org.apache.camel.CamelContext.setTracing org.apache.camel.CamelContext.addComponent'
'org.apache.activemq.camel.component.ActiveMQJmsHeaderRouteTest.configure','org.apache.camel.Processor.<init>'
'org.apache.activemq.camel.component.ActiveMQJmsHeaderRouteTest.process','org.apache.camel.Exchange.getIn org.apache.camel.Exchange.getIn org.apache.camel.Exchange.getIn'
'org.apache.activemq.camel.component.ActiveMQJmsHeaderRouteTest.createRouteBuilder','org.apache.camel.builder.RouteBuilder.<init>'
'org.apache.activemq.camel.converter.ActiveMQMessageConverter.toMessage','org.apache.camel.component.jms.JmsBinding.appendJmsProperties'
'org.apache.activemq.camel.converter.ActiveMQMessageConverter.toProcessor','org.apache.camel.Processor.<init>'
'org.apache.activemq.camel.converter.ActiveMQMessageConverter.createActiveMQMessage','org.apache.camel.Exchange.getIn'
'org.apache.activemq.camel.component.ActiveMQReplyToHeaderUsingConverterTest.testSendingAMessageFromCamelSetsCustomJmsHeaders','org.apache.camel.component.mock.MockEndpoint.expectedBodiesReceived org.apache.camel.component.mock.MockEndpoint.message org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.AssertionClause.header org.apache.camel.component.mock.MockEndpoint.assertIsSatisfied org.apache.camel.component.mock.MockEndpoint.getReceivedExchanges org.apache.camel.Exchange.getIn org.apache.camel.Message.getHeader'
'org.apache.activemq.camel.component.ActiveMQReplyToHeaderUsingConverterTest.createCamelContext','org.apache.camel.CamelContext.addComponent'
'org.apache.activemq.camel.component.ActiveMQReplyToHeaderUsingConverterTest.createRouteBuilder','org.apache.camel.builder.RouteBuilder.<init>'
'com.epam.chat.camel.ActivemqProducerFactory.createProducer','org.apache.camel.CamelContext.createProducerTemplate org.apache.camel.ProducerTemplate.setDefaultEndpointUri org.apache.camel.ProducerTemplate.start'
'.ActorsTest.after','org.apache.camel.CamelContext.stopRoute org.apache.camel.CamelContext.removeRoute org.apache.camel.CamelContext.stopRoute org.apache.camel.CamelContext.removeRoute org.apache.camel.CamelContext.stopRoute org.apache.camel.CamelContext.removeRoute org.apache.camel.CamelContext.getEndpoints org.apache.camel.Endpoint.stop'
'.ActorsTest.testCamelRouteToActor','org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.CamelContext.addRoutes org.apache.camel.CamelContext.getEndpoint org.apache.camel.CamelContext.createProducerTemplate'
'.ActorsTest.testActorCustomId','org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.CamelContext.addRoutes org.apache.camel.CamelContext.getEndpoint org.apache.camel.CamelContext.createProducerTemplate'
'.ActorsTest.testJmsToActor','org.apache.camel.builder.RouteBuilder.<init> org.apache.camel.CamelContext.addRoutes'
