@relation cloud9

@attribute fqCaller string
@attribute fqCalls string

@data
'ivory.ptc.data.AnchorTextTarget.AnchorTextTarget','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.<init>'
'ivory.ptc.data.AnchorTextTarget.readFields','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.clear edu.umd.cloud9.io.array.ArrayListOfIntsWritable.readFields'
'ivory.ptc.data.AnchorTextTarget.write','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.write'
'ivory.ptc.data.AnchorTextTarget.addSources','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.add'
'ivory.ptc.data.AnchorTextTarget.iterator','edu.umd.cloud9.io.array.ArrayListOfIntsWritable.iterator'
'ivory.core.util.AnnotateClueRunAllWithURLs.MyMapper.run','edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.<init> edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.loadIndex edu.umd.cloud9.collection.clue.ClueWarcForwardIndex.getDocument edu.umd.cloud9.collection.clue.ClueWarcRecord.getHeaderMetadataItem'
'ivory.lsh.eval.BruteForcePwsim.MyMapperDocVectors.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperDocVectors.map','edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyMapperTermDocVectors.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperTermDocVectors.map','edu.umd.cloud9.io.map.HMapSFW.length edu.umd.cloud9.io.map.HMapSFW.length edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyMapperSignature.configure','edu.umd.cloud9.io.SequenceFileUtils.readFile'
'ivory.lsh.eval.BruteForcePwsim.MyMapperSignature.map','edu.umd.cloud9.io.pair.PairOfFloatInt.<init>'
'ivory.lsh.eval.BruteForcePwsim.MyReducer.reduce','edu.umd.cloud9.io.pair.PairOfFloatInt.getLeftElement edu.umd.cloud9.io.pair.PairOfFloatInt.getRightElement edu.umd.cloud9.io.pair.PairOfFloatInt.<init> edu.umd.cloud9.io.pair.PairOfFloatInt.getRightElement edu.umd.cloud9.io.pair.PairOfInts.set edu.umd.cloud9.io.pair.PairOfFloatInt.getLeftElement'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.setup','edu.umd.cloud9.util.map.HMapII.clear'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.map','edu.umd.cloud9.io.pair.PairOfInts.set edu.umd.cloud9.util.map.HMapII.increment'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyMapper.cleanup','edu.umd.cloud9.util.map.HMapII.entrySet edu.umd.cloud9.io.pair.PairOfInts.set'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyReducer.reduce','edu.umd.cloud9.io.pair.PairOfInts.getLeftElement edu.umd.cloud9.io.pair.PairOfInts.getRightElement edu.umd.cloud9.io.pair.PairOfInts.getRightElement edu.umd.cloud9.io.pair.PairOfInts.getRightElement'
'ivory.core.index.BuildIPInvertedIndexDocSorted.MyPartitioner.getPartition','edu.umd.cloud9.io.pair.PairOfInts.getLeftElement'
'ivory.core.preprocess.BuildTargetLangWeightedIntDocVectors.MyMapper.map','edu.umd.cloud9.io.map.HMapIFW.clear edu.umd.cloud9.io.map.HMapSFW.entrySet edu.umd.cloud9.io.map.HMapIFW.put'
'ivory.core.preprocess.BuildTermDocVectors.MyMapper.setup','edu.umd.cloud9.collection.DocnoMapping.loadMapping edu.umd.cloud9.collection.DocnoMapping.loadMapping'
'ivory.core.preprocess.BuildTermDocVectors.MyMapper.map','edu.umd.cloud9.collection.Indexable.getDocid edu.umd.cloud9.collection.DocnoMapping.getDocno edu.umd.cloud9.util.map.HMapII.put'
'ivory.core.preprocess.BuildTermDocVectors.MyMapper.cleanup','edu.umd.cloud9.util.map.HMapII.size edu.umd.cloud9.util.map.HMapII.entrySet'
'ivory.core.preprocess.BuildWeightedTermDocVectors.MyMapper.map','edu.umd.cloud9.io.map.HMapSFW.clear edu.umd.cloud9.io.map.HMapSFW.put edu.umd.cloud9.io.map.HMapSFW.entrySet edu.umd.cloud9.io.map.HMapSFW.get edu.umd.cloud9.io.map.HMapSFW.put edu.umd.cloud9.io.map.HMapSFW.size edu.umd.cloud9.io.map.HMapSFW.size'
'ivory.core.preprocess.ComputeGlobalTermStatistics.MyMapper.map','edu.umd.cloud9.io.pair.PairOfIntLong.set'
'ivory.core.preprocess.ComputeGlobalTermStatistics.MyCombiner.reduce','edu.umd.cloud9.io.pair.PairOfIntLong.getLeftElement edu.umd.cloud9.io.pair.PairOfIntLong.getRightElement edu.umd.cloud9.io.pair.PairOfIntLong.set'
'ivory.core.preprocess.ComputeGlobalTermStatistics.MyReducer.reduce','edu.umd.cloud9.io.pair.PairOfIntLong.getLeftElement edu.umd.cloud9.io.pair.PairOfIntLong.getRightElement edu.umd.cloud9.io.pair.PairOfIntLong.set'
'ivory.lsh.projection.ComputeSignaturesRandom.MyMapper.configure','edu.umd.cloud9.io.SequenceFileUtils.readValues edu.umd.cloud9.io.SequenceFileUtils.readValues'
'ivory.lsh.projection.ComputeSignaturesRandom.MyMapper.dotProduct','edu.umd.cloud9.io.map.HMapIFW.entrySet edu.umd.cloud9.io.map.HMapIFW.entrySet edu.umd.cloud9.io.array.ArrayListOfFloatsWritable.get'
'ivory.lsh.projection.ComputeSignaturesSimhash.MyMapper.map','edu.umd.cloud9.io.map.HMapSFW.entrySet edu.umd.cloud9.util.map.MapKF.Entry<java.lang.String>.getKey edu.umd.cloud9.util.map.MapKF.Entry<java.lang.String>.getValue'
'ivory.lsh.data.DfTableArray.main','edu.umd.cloud9.debug.MemoryUsageUtils.getUsedMemory edu.umd.cloud9.debug.MemoryUsageUtils.getUsedMemory'
'ivory.core.index.DistributeGlobalStatsToPostings.MyMapper.map','edu.umd.cloud9.io.pair.PairOfIntLong.getRightElement edu.umd.cloud9.io.pair.PairOfIntLong.getLeftElement'
'ivory.core.data.stat.DocScoreTable4BF.main','edu.umd.cloud9.debug.MemoryUsageUtils.getUsedMemory edu.umd.cloud9.debug.MemoryUsageUtils.getUsedMemory'
