@relation drools

@attribute fqCaller string
@attribute fqCalls string

@data
'org.anadix.impl.AbstractElementFactoryTest.testGetElements','org.drools.runtime.StatefulKnowledgeSession.getObjects'
'org.anadix.impl.AbstractElementFactoryTest.testInsertEvent','org.drools.runtime.StatefulKnowledgeSession.getWorkingMemoryEntryPoint'
'org.opaeum.jbpm5.AbstractFlowStep.createRoot','org.drools.drools._5._0.process.util.ProcessResourceFactoryImpl.<init> org.drools.drools._5._0.process.DocumentRoot.setProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.ProcessType.getHeader org.drools.drools._5._0.process.HeaderType.getVariables org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess org.drools.drools._5._0.process.DocumentRoot.getProcess'
'org.opaeum.jbpm5.AbstractFlowStep.createVariable','org.drools.drools._5._0.process.VariablesType.getVariable org.drools.drools._5._0.process.VariableType.setName org.drools.drools._5._0.process.TypeType.setClassName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.TypeType.setName org.drools.drools._5._0.process.VariableType.getType'
'org.opaeum.jbpm5.AbstractFlowStep.addStartNode','org.drools.drools._5._0.process.StartType.setName org.drools.drools._5._0.process.NodesType.getStart'
'org.opaeum.jbpm5.AbstractFlowStep.addJoin','org.drools.drools._5._0.process.JoinType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addMerge','org.drools.drools._5._0.process.JoinType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addJoinType','org.drools.drools._5._0.process.JoinType.setName org.drools.drools._5._0.process.NodesType.getJoin'
'org.opaeum.jbpm5.AbstractFlowStep.createCompositeState','org.drools.drools._5._0.process.NodesType.getComposite org.drools.drools._5._0.process.CompositeType.getNodes org.drools.drools._5._0.process.CompositeType.getConnections org.drools.drools._5._0.process.CompositeType.setName org.drools.drools._5._0.process.CompositeType.setHeight org.drools.drools._5._0.process.CompositeType.setWidth'
'org.opaeum.jbpm5.AbstractFlowStep.createDynamicState','org.drools.drools._5._0.process.NodesType.getDynamic org.drools.drools._5._0.process.DynamicType.getNodes org.drools.drools._5._0.process.DynamicType.getConnections org.drools.drools._5._0.process.DynamicType.setName org.drools.drools._5._0.process.DynamicType.setHeight org.drools.drools._5._0.process.DynamicType.setWidth'
'org.opaeum.jbpm5.AbstractFlowStep.addFinalNode','org.drools.drools._5._0.process.EndType.setName org.drools.drools._5._0.process.EndType.setTerminate org.drools.drools._5._0.process.NodesType.getEnd'
'org.opaeum.jbpm5.AbstractFlowStep.addState','org.drools.drools._5._0.process.StateType.setName org.drools.drools._5._0.process.NodesType.getState'
'org.opaeum.jbpm5.AbstractFlowStep.addFork','org.drools.drools._5._0.process.SplitType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addChoice','org.drools.drools._5._0.process.SplitType.setType'
'org.opaeum.jbpm5.AbstractFlowStep.addSplitType','org.drools.drools._5._0.process.NodesType.getSplit org.drools.drools._5._0.process.SplitType.setName'
'org.opaeum.jbpm5.AbstractFlowStep.createConnection','org.drools.drools._5._0.process.ConnectionType.setFromType org.drools.drools._5._0.process.ConnectionType.setFrom org.drools.drools._5._0.process.ConnectionType.setTo org.drools.drools._5._0.process.ConnectionsType.getConnection'
'org.opaeum.jbpm5.AbstractFlowStep.addInitialNode','org.drools.drools._5._0.process.StartType.setName org.drools.drools._5._0.process.NodesType.getStart'
'org.opaeum.jbpm5.AbstractFlowStep.addConstraintsToSplit','org.drools.drools._5._0.process.SplitType.getConstraints org.drools.drools._5._0.process.ConstraintType.setDialect org.drools.drools._5._0.process.ConstraintType.setToNodeId org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setValue org.drools.drools._5._0.process.ConstraintType.setPriority org.drools.drools._5._0.process.ConstraintType.setToType org.drools.drools._5._0.process.ConstraintType.setType org.drools.drools._5._0.process.ConstraintsType.getConstraint'
'org.opaeum.jbpm5.AbstractFlowStep.createAction','org.drools.drools._5._0.process.ActionType.setDialect org.drools.drools._5._0.process.ActionType.setType org.drools.drools._5._0.process.ActionType.setValue'
