@relation hadoop

@attribute fqCaller string
@attribute fqCalls string

@data
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.ABtMapper.cleanup','org.apache.hadoop.fs.Path.<init>'
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.ABtMapper.setup','org.apache.hadoop.conf.Configuration.get org.apache.hadoop.conf.Configuration.get org.apache.hadoop.conf.Configuration.getInt org.apache.hadoop.conf.Configuration.get org.apache.hadoop.filecache.DistributedCache.getLocalCacheFiles org.apache.hadoop.conf.Configuration.<init> org.apache.hadoop.conf.Configuration.set org.apache.hadoop.conf.Configuration.get org.apache.hadoop.fs.Path.<init> org.apache.hadoop.conf.Configuration.get org.apache.hadoop.fs.Path.<init>'
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.QRReducer.setup','org.apache.hadoop.conf.Configuration.getInt org.apache.hadoop.conf.Configuration.get org.apache.hadoop.fs.Path.<init>'
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.QRReducer.getSplitFilePath','org.apache.hadoop.mapreduce.lib.output.FileOutputFormat.getUniqueFile org.apache.hadoop.mapreduce.lib.output.FileOutputFormat.getWorkOutputPath org.apache.hadoop.fs.Path.<init>'
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.QRReducer.createOutputCollector','org.apache.hadoop.fs.Path.toUri org.apache.hadoop.fs.FileSystem.get org.apache.hadoop.io.SequenceFile.createWriter org.apache.hadoop.mapred.OutputCollector<org.apache.mahout.math.hadoop.stochasticsvd.K,org.apache.mahout.math.hadoop.stochasticsvd.V>.<init>'
'org.apache.mahout.math.hadoop.stochasticsvd.ABtDenseOutJob.run','org.apache.hadoop.mapred.JobConf.<init> org.apache.hadoop.mapreduce.Job.<init> org.apache.hadoop.mapreduce.Job.setJobName org.apache.hadoop.mapreduce.Job.setJarByClass org.apache.hadoop.mapreduce.Job.setInputFormatClass org.apache.hadoop.mapreduce.lib.input.FileInputFormat.setInputPaths org.apache.hadoop.mapreduce.lib.input.FileInputFormat.setMinInputSplitSize org.apache.hadoop.mapreduce.lib.output.FileOutputFormat.setOutputPath org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat.setOutputCompressionType org.apache.hadoop.mapreduce.Job.setMapOutputKeyClass org.apache.hadoop.mapreduce.Job.setMapOutputValueClass org.apache.hadoop.mapreduce.Job.setOutputKeyClass org.apache.hadoop.mapreduce.Job.setOutputValueClass org.apache.hadoop.mapreduce.Job.setMapperClass org.apache.hadoop.mapreduce.Job.setReducerClass org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.fs.Path.toString org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.fs.Path.toString org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.fs.Path.toString org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.fs.Path.toString org.apache.hadoop.mapreduce.Job.setNumReduceTasks org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.fs.Path.toUri org.apache.hadoop.fs.FileSystem.get org.apache.hadoop.fs.FileSystem.globStatus org.apache.hadoop.fs.FileStatus.getPath org.apache.hadoop.mapreduce.Job.getConfiguration org.apache.hadoop.filecache.DistributedCache.addCacheFile org.apache.hadoop.mapreduce.Job.submit org.apache.hadoop.mapreduce.Job.waitForCompletion org.apache.hadoop.mapreduce.Job.isSuccessful'
'org.commoncrawl.hadoop.io.ARCInputFormat.setARCSourceClass','org.apache.hadoop.mapred.JobConf.setClass'
'org.commoncrawl.hadoop.io.ARCInputFormat.setIOBlockSize','org.apache.hadoop.mapred.JobConf.setInt'
'org.commoncrawl.hadoop.io.ARCInputFormat.setIOBufferSize','org.apache.hadoop.mapred.JobConf.setInt'
'org.commoncrawl.hadoop.io.ARCInputFormat.setIOTimeout','org.apache.hadoop.mapred.JobConf.setLong'
'org.commoncrawl.hadoop.io.ARCInputFormat.configure','org.apache.hadoop.mapred.JobConf.getInt org.apache.hadoop.mapred.JobConf.getInt org.apache.hadoop.mapred.JobConf.getInt org.apache.hadoop.mapred.JobConf.getClass org.apache.hadoop.util.ReflectionUtils.newInstance'
'org.commoncrawl.hadoop.io.ARCResource.write','org.apache.hadoop.io.Text.writeString'
'org.commoncrawl.hadoop.io.ARCResource.readFields','org.apache.hadoop.io.Text.readString'
'org.commoncrawl.hadoop.io.ARCSplit.readFields','org.apache.hadoop.io.Text.readString'
'org.commoncrawl.hadoop.io.ARCSplitReader.ARCSplitReader','org.apache.hadoop.mapred.JobConf.set'
'org.commoncrawl.hadoop.io.ARCSplitReader.createKey','org.apache.hadoop.io.Text.<init>'
'org.commoncrawl.hadoop.io.ARCSplitReader.next','org.apache.hadoop.util.StringUtils.stringifyException org.apache.hadoop.util.StringUtils.stringifyException org.apache.hadoop.io.Text.set'
'org.commoncrawl.hadoop.io.ARCSplitReader.ARCSplitReader','org.apache.hadoop.mapred.JobConf.set'
'org.commoncrawl.hadoop.io.ARCSplitReader.next','org.apache.hadoop.util.StringUtils.stringifyException org.apache.hadoop.util.StringUtils.stringifyException org.apache.hadoop.io.Text.set'
'org.commoncrawl.hadoop.io.ARCSplitReader.createKey','org.apache.hadoop.io.Text.<init>'
