@relation hornetq

@attribute fqCaller string
@attribute fqCalls string

@data
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.createTopic','org.hornetq.api.jms.management.JMSServerControl.createTopic'
'org.richfaces.demo.push.provider.AS6MessagingProviderManagement.getAvailableTopics','org.hornetq.api.jms.management.JMSServerControl.getTopicNames'
'org.jboss.as.messaging.jms.AbstractAddJndiHandler.execute','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.AddressSettingRemove.performRuntime','org.hornetq.core.server.HornetQServer.getAddressSettingsRepository'
'org.jboss.as.messaging.AddressSettingRemove.getServer','org.hornetq.core.server.HornetQServer.cast'
'org.jboss.as.messaging.AddressSettingsWriteHandler.applyUpdateToRuntime','org.hornetq.core.server.HornetQServer.getAddressSettingsRepository org.hornetq.core.settings.HierarchicalRepository<org.hornetq.core.settings.impl.AddressSettings>.getMatch org.hornetq.core.settings.HierarchicalRepository<org.hornetq.core.settings.impl.AddressSettings>.addMatch'
'org.jboss.as.messaging.AddressSettingsWriteHandler.doRevertUpdateToRuntime','org.hornetq.core.settings.HierarchicalRepository<org.hornetq.core.settings.impl.AddressSettings>.addMatch'
'org.chililog.server.AppTest.test10000','org.hornetq.api.core.client.ClientSession.createProducer org.hornetq.api.core.client.ClientSession.createMessage org.hornetq.api.core.client.ClientMessage.putStringProperty org.hornetq.api.core.client.ClientMessage.putStringProperty org.hornetq.api.core.client.ClientMessage.putStringProperty org.hornetq.api.core.client.ClientMessage.putStringProperty org.hornetq.api.core.client.ClientMessage.getBodyBuffer org.hornetq.api.core.SimpleString.toSimpleString org.hornetq.api.core.client.ClientProducer.send org.hornetq.api.core.client.ClientSession.commit'
'org.jbpm.task.service.hornetq.BaseHornetQTaskServer.run','org.hornetq.api.core.client.ClientConsumer.isClosed org.hornetq.api.core.client.ClientConsumer.receive org.hornetq.api.core.client.ClientMessage.getStringProperty org.hornetq.api.core.HornetQException.getCode org.hornetq.api.core.HornetQException.getMessage'
'org.jbpm.task.service.hornetq.BaseHornetQTaskServer.readMessage','org.hornetq.api.core.client.ClientMessage.getBodySize org.hornetq.api.core.client.ClientMessage.getBodyBuffer'
