@relation neo4j

@attribute fqCaller string
@attribute fqCalls string

@data
'org.animotron.expression.AbstractExpression.toString','org.neo4j.graphdb.Relationship.toString'
'org.animotron.graph.index.AbstractIndex.get','org.neo4j.graphdb.index.IndexHits<org.animotron.graph.index.T>.next org.neo4j.graphdb.index.IndexHits<org.animotron.graph.index.T>.close'
'org.animotron.graph.index.AbstractIndex.getHits','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.get'
'org.animotron.graph.index.AbstractIndex.add','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.add'
'org.animotron.graph.index.AbstractIndex.remove','org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.remove org.neo4j.graphdb.index.Index<org.animotron.graph.index.T>.remove'
'org.structr.core.traversal.AbstractNodeCollector.getTraversalDescription','org.neo4j.kernel.Traversal.description org.neo4j.graphdb.traversal.Evaluators.excludeStartPosition org.neo4j.graphdb.traversal.Evaluator.<init> org.neo4j.graphdb.traversal.TraversalDescription.relationships'
'org.structr.core.traversal.AbstractNodeCollector.evaluate','org.neo4j.graphdb.Path.length org.neo4j.graphdb.Path.endNode'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getId','org.neo4j.graphdb.Node.getId'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.delete','org.neo4j.graphdb.Node.delete'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getRelationships','org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships org.neo4j.graphdb.Node.getRelationships'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.hasRelationship','org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship org.neo4j.graphdb.Node.hasRelationship'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getSingleRelationship','org.neo4j.graphdb.Node.getSingleRelationship'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.createRelationshipTo','org.neo4j.graphdb.Node.createRelationshipTo'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.traverse','org.neo4j.graphdb.Node.traverse org.neo4j.graphdb.Node.traverse org.neo4j.graphdb.Node.traverse'
'nl.pieni.maven.dependency_analyzer.neo4j.node.AbstractNodeDecorator.getGraphDatabase','org.neo4j.graphdb.Node.getGraphDatabase'
