@relation spring-data-mongodb

@attribute fqCaller string
@attribute fqCalls string

@data
'com.fb.restbucks.config.AppConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'com.fb.restbucks.config.AppConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'org.axonframework.samples.trader.infra.mongo.CFMongoTemplate.database','org.springframework.data.mongodb.MongoDbFactory.getDb'
'org.wgrus.web.ChartController.getOrderData','org.springframework.data.mongodb.core.MongoTemplate.getCollection org.springframework.data.mongodb.core.MongoTemplate.getCollection org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'com.bia.monitor.dao.Dao.Dao','org.springframework.data.mongodb.core.MongoTemplate.<init>'
'com.github.dansmithy.sanjuan.model.update.GameUpdater.createMongoUpdate','org.springframework.data.mongodb.core.query.Update.<init> org.springframework.data.mongodb.core.query.Update.set'
'org.krams.service.InitMongoService.init','org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.dropCollection org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert org.springframework.data.mongodb.core.MongoTemplate.insert'
'be.dhs.springmvc.MVCConfig.mongoDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'be.dhs.springmvc.MVCConfig.mongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern'
'org.cloudfoundry.reconfiguration.data.document.MongoConfigurerTest.replacesUserDbFactory','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'org.springframework.social.connect.mongo.MongoConnectionService.getMaxRank','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.create','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.social.connect.mongo.MongoConnectionService.update','org.springframework.data.mongodb.core.MongoTemplate.setWriteConcern org.springframework.data.mongodb.core.MongoTemplate.save org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.findAndModify'
'org.springframework.social.connect.mongo.MongoConnectionService.remove','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.remove'
'org.springframework.social.connect.mongo.MongoConnectionService.getPrimaryConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnection','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.social.connect.mongo.MongoConnectionService.getConnections','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Criteria.orOperator org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.social.connect.mongo.MongoConnectionService.getUserIds','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.fields org.springframework.data.mongodb.core.MongoTemplate.find org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.query org.springframework.data.mongodb.core.query.Query.fields org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.social.connect.mongo.MongoConnectionService.runQuery','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.social.connect.mongo.MongoConnectionServiceTests.setup','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.social.connect.mongo.MongoConnectionServiceTests.tearDown','org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoTemplate.remove'
'nl.enovation.addressbook.cqrs.webui.init.MongoController.collection','org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'nl.enovation.addressbook.cqrs.webui.init.MongoController.collections','org.springframework.data.mongodb.core.MongoTemplate.getCollectionNames'
'mongodb.MongoDBGridFSTest.shouldListExistingFiles','org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBGridFSTest.shouldDeleteAllFiles','org.springframework.data.mongodb.gridfs.GridFsTemplate.delete org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBGridFSTest.shouldStoreFile','org.springframework.data.mongodb.gridfs.GridFsTemplate.delete org.springframework.data.mongodb.gridfs.GridFsTemplate.store org.springframework.data.mongodb.gridfs.GridFsTemplate.find'
'mongodb.MongoDBMassTest.setUp','org.springframework.data.mongodb.core.MongoTemplate.indexOps org.springframework.data.mongodb.core.index.GeospatialIndex.<init>'
'mongodb.MongoDBMassTest.shouldPerformRandomQueries','org.springframework.data.mongodb.core.geo.Circle.<init> org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Point.<init> org.springframework.data.mongodb.core.geo.Box.<init>'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithDefaultMongoFactory','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedMongoFactory','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithMongoTemplate','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedCollection','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithNamedCollectionExpression','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithOnSuccessDisposition','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.testWithMongoConverter','org.springframework.data.mongodb.core.MongoTemplate.<init> org.springframework.data.mongodb.core.MongoTemplate.save'
'org.springframework.integration.mongodb.config.MongoDbInboundChannelAdapterIntegrationTests.DocumentCleaner.remove','org.springframework.data.mongodb.core.query.BasicQuery.<init> org.springframework.data.mongodb.core.MongoOperations.remove'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.MongoDbMessageStore','org.springframework.data.mongodb.core.mapping.MongoMappingContext.<init> org.springframework.data.mongodb.core.MongoTemplate.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.addMessage','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessage','org.springframework.data.mongodb.core.MongoTemplate.findOne'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessageCount','org.springframework.data.mongodb.core.MongoTemplate.getCollection'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.removeMessage','org.springframework.data.mongodb.core.MongoTemplate.findAndRemove'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.getMessageGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.addMessageToGroup','org.springframework.data.mongodb.core.MongoTemplate.insert'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.removeMessageGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.iterator','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.completeGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.setLastReleasedSequenceNumberForGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.pollMessageFromGroup','org.springframework.data.mongodb.core.MongoTemplate.find'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.messageGroupSize','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.MongoTemplate.count'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereMessageIdIs','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdIs','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdExists','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.whereGroupIdIsOrdered','org.springframework.data.mongodb.core.query.Criteria.where org.springframework.data.mongodb.core.query.Query.<init> org.springframework.data.mongodb.core.query.Query.limit org.springframework.data.mongodb.core.query.Query.sort'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.updateGroup','org.springframework.data.mongodb.core.query.Update.update org.springframework.data.mongodb.core.MongoTemplate.updateFirst'
'org.springframework.integration.mongodb.store.MongoDbMessageStore.MessageReadingMongoConverter.afterPropertiesSet','org.springframework.data.mongodb.core.convert.CustomConversions.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStoreClaimCheckIntegrationTests.stringPayload','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
'org.springframework.integration.mongodb.store.MongoDbMessageStoreClaimCheckIntegrationTests.objectPayload','org.springframework.data.mongodb.core.SimpleMongoDbFactory.<init>'
