@relation webobjects

@attribute fqCaller string
@attribute fqCalls string

@data
'er.attachment.components.viewers.AbstractERAttachmentViewer.attachmentUrl','com.webobjects.appserver.WOContext.request'
'com.wounit.rules.AbstractEditingContextTest.clearEditingContextChangesAfterTestExecution','com.webobjects.foundation.NSArray<com.wounit.model.FooEntity>.isEmpty'
'com.wounit.rules.AbstractEditingContextTest.doNotRemoveModelsNotLoadedByTheEditingContextRule','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.enablePrototypesOverriding','com.webobjects.eoaccess.EOEntity.attributeNamed com.webobjects.eoaccess.EOAttribute.scale'
'com.wounit.rules.AbstractEditingContextTest.loadMoreThanOneModel','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.loadOneModel','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.loadOneModelInsideResourcesFolder','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.removeModelsLoadedByTheTemporaryEditingContextAfterTestExecution','com.webobjects.eoaccess.EOModelGroup.defaultGroup'
'com.wounit.rules.AbstractEditingContextTest.tearDown','com.webobjects.eoaccess.EOModelGroup.defaultGroup com.webobjects.eoaccess.EOModelGroup.modelNamed com.webobjects.eoaccess.EOModelGroup.removeModel'
'com.woinject.AbstractInjectableTestCase.initMainBundle','com.webobjects.foundation.NSBundle.name com.webobjects.foundation.NSBundle.bundlePathURL com.webobjects.foundation.NSBundle._setMainBundle'
'er.woadaptor.websockets.AbstractWOWebSocketFactory.create','com.webobjects.foundation.NSForwardException._runtimeExceptionForThrowable com.webobjects.appserver.WOApplication.application com.webobjects.appserver.WOSession.context'
'org.cocktail.ipweb.serveur.components.page.AccesIpAnonyme.preinscritToujoursAnonyme','com.webobjects.foundation.NSArray.<init> com.webobjects.eocontrol.EOQualifier.qualifierWithQualifierFormat com.webobjects.eocontrol.EOFetchSpecification.<init> com.webobjects.eocontrol.EOEditingContext.objectsWithFetchSpecification com.webobjects.foundation.NSArray.count'
'org.cocktail.ipweb.serveur.components.page.AccesIpAnonyme.setDateNaissEtud','com.webobjects.foundation.NSTimestampFormatter.<init> com.webobjects.foundation.NSTimestampFormatter.parseObjectInUTC com.webobjects.foundation.NSTimestamp.timestampByAddingGregorianUnits com.webobjects.foundation.NSTimestamp.timestampByAddingGregorianUnits'
'com.dyned.conf.comp.AdminsPage.saveFormData','com.webobjects.eoaccess.EOUtilities.createAndInsertInstance com.webobjects.foundation.NSTimestamp.<init> com.webobjects.foundation.NSTimestamp.<init>'
'er.ajax.AjaxAutoComplete.createAjaxOptions','com.webobjects.foundation.NSMutableArray.<init> com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject com.webobjects.foundation.NSMutableArray.addObject'
'er.ajax.AjaxAutoComplete.appendToResponse','com.webobjects.foundation.NSMutableDictionary.objectForKey com.webobjects.foundation.NSMutableDictionary.setObjectForKey com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString com.webobjects.appserver.WOResponse.appendContentString'
