@relation wicket

@attribute fqCaller string
@attribute fqCalls string

@data
'com.wicketinaction.requestmappers.APage.getMarkupResourceStream','org.apache.wicket.util.resource.StringResourceStream.<init>'
'info.piwai.funkyjfunctional.wicket.apitest.ARONTest.callableReturnsFortyTwo','org.apache.wicket.model.AbstractReadOnlyModel<java.lang.String>.getObject'
'org.geoserver.web.AboutGeoServerPage.AboutGeoServerPage','org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'de.wicketpraxis.web.thema.komponenten.ajax.AbstractAjaxEvent.fire','org.apache.wicket.Component.getPage'
'de.wicketpraxis.web.thema.komponenten.ajax.AbstractAjaxEvent.update','org.apache.wicket.ajax.AjaxRequestTarget.add'
'org.odlabs.wiquery.core.behavior.AbstractAjaxEventCallback.getExtraParameters','org.apache.wicket.ajax.attributes.CallbackParameter.context org.apache.wicket.ajax.attributes.CallbackParameter.context org.apache.wicket.ajax.attributes.CallbackParameter.resolved'
'org.wicketstuff.dojo11.dojofx.AbstractAnimationBehavior.onComponentTag','org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.ComponentTag.getAttributes org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.ComponentTag.getAttributes'
'org.wicketstuff.dojo11.dojofx.AbstractAnimationBehavior.renderHead','org.apache.wicket.util.string.Strings.isEmpty org.apache.wicket.markup.html.IHeaderResponse.renderOnDomReadyJavascript'
'net.rrm.ehour.ui.common.page.AbstractBasePage.setupPage','org.apache.wicket.markup.html.basic.Label.<init>'
'net.rrm.ehour.ui.common.page.AbstractBasePage.createDebugBar','org.apache.wicket.devutils.debugbar.DebugBar.<init> org.apache.wicket.markup.html.WebMarkupContainer.<init> org.apache.wicket.markup.html.WebMarkupContainer.setVisible'
'almira.sample.web.AbstractBasePage.AbstractBasePage','org.apache.wicket.model.ResourceModel.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.link.BookmarkablePageLink<java.lang.Void>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.PropertyModel<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.markup.html.basic.Label.<init> org.apache.wicket.model.Model<java.lang.String>.<init> org.apache.wicket.markup.html.basic.Label.<init>'
'almira.sample.web.model.AbstractCachingDataProvider.model','org.apache.wicket.model.LoadableDetachableModel<almira.sample.web.model.T>.<init>'
'org.wicketstuff.mergedresources.versioning.AbstractClasspathResourceVersionProvider.getResourcePath','org.apache.wicket.util.string.Strings.beforeLast'
